authors,year,title,abstract,corpus_id,doi,author
B. Thatcher,2005,Situating L2 writing in global communication technologies,,144536015,10.1016/J.COMPCOM.2005.05.002,
Virginia LoCastro,1997,Pedagogical Intervention and Pragmatic Competence Development.,,140409366,,
G. Kasper,1986,"Learning, Teaching and Communication in the Foreign Language Classroom",,141757708,,
"G. Schauer, S. Adolphs",2006,"Expressions of gratitude in corpus and DCT data : vocabulary, formulaic sequences, and pedagogy.",,62208181,10.1016/J.SYSTEM.2005.09.003,
R. Dekeyser,1995,Learning Second Language Grammar Rules,"This is a report on a computerized experiment with a miniature linguistic system, consisting of five morphological rules and a lexicon of 98 words. Two hypotheses derived from the literature in cognitive psychology and psycholinguistics were tested: that explicit-deductive learning would be better than implicit-inductive learning for straightforward (“categorical”) rules, and that implicit-inductive learning would be better than explicit-deductive learning for fuzzy rules (“prototypicality patterns”). Implicit-inductive learning was implemented by pairing sentences with color pictures; explicit-deductive learning was implemented by means of traditional grammar rule presentation, followed by picture-sentence pairing. The findings were in the expected direction for both hypotheses, but only the first one could be confirmed through statistically significant results.",145480076,10.1017/S027226310001425X,
V. Cook,1992,Evidence for Multicompetence,"The term multicompetence describes “the compound state of a mind with two grammars” (Cook, 1991a, p. 112). This paper reviews evidence addressing two questions: 1. Do people who know two languages differ from people who know only one in other respects than simply knowledge of an L2? L2 users differ from monolinguals in L1 knowledge; advanced L2 users differ from monolinguals in L2 knowledge; L2 usershave a different metalinguistic awareness from monolinguals; L2 users have different cognitive processes. These subtle differences consistently suggest that people with multicompetence are not simply equivalent to two monolinguals but are a unique combination. 2. Do people who know two languages have a merged language system rather than two separate systems? The L1 and L2 share the same mentallexicon; L2 users codeswitch readily; L2 processing cannot be cut off from LI; both languages are stored in the same areas of the brain; L2 proficiency relates to L1 proficiency. This evidence suggests merged systems at some level in some areas, even if some of it is open to other interpretations. 
A final section discusses more general issues. Much SLA research is biased by adopting the monolingual as a norm rather than the multicompetent speaker. Multicompetence distinguishes diachronic transfer during the learner's acquisition from synchronic transfer between the two languages at a single moment of time. Multicompetence starts when there is systematic knowledge of an L2 that is not assimilated to the L1. Holistic multicompetence is seen as an offshoot of polylectal grammar theory applied to monolinguals. Language teaching should try to produce multicompetent individuals not ersatz native speakers.",144463485,10.1111/J.1467-1770.1992.TB01044.X,
Kenneth R. Rose,2005,On the effects of instruction in second language pragmatics,,57280811,10.1016/J.SYSTEM.2005.06.003,
J. House,1996,Developing Pragmatic Fluency in English as a Foreign Language: Routines and Metapragmatic Awareness,"This study explores whether pragmatic fluency can best be acquired in the classroom by provision of input and opportunity for communicative practice alone, or whether learners profit more when additional explicit instruction in the use of conversational routines is provided. It is hypothesized that such instruction raises learners' awareness of the functions and contextual distributions of routines, enabling them to become more pragmatically fluent. Two versions of a communication course taught to advanced German learners of English for 14 weeks are examined, one version providing explicit metapragmatic information, the other withholding it. Samples of tape-recorded conversations at various stages of the courses are used to assess how students' pragmatic fluency developed and whether and how the development of fluency benefits from metapragmatic awareness.",141662199,10.1017/S0272263100014893,
Debra Hoven,1999,A model for listening and viewing comprehension in multimedia environments,,57641579,,
"S. Gass, Carolyn G. Madden",1985,Input in second language acquisition,,62184576,10.2307/327330,
M. Salaberry,2000,Pedagogical Design of Computer Mediated Communication Tasks: Learning Objectives and Technological Capabilities,"It has been claimed that the recent emergence of internet-based communication constitutes a technological innovation with the potential to create a paradigmatic shift in teaching and learning second languages (e.g., Berge & Collins, 1995; Dede, 1993; Harasim, 1990). However, for this shift to happen, materials designers need to assess critically the effects of the techno-logical capabilities of Computer Mediated Communication (CMC) as well as the features that characterize a potentially new type of literacy. Such a critical assessment will have to be based on the analysis of how specific pedagogical objectives are achieved through the design and implementation of instructional activities in CMC environments. In this respect, the analysis of such theoretical constructs as the grounding criterion and the principle of least collaborative effort (Clark & Brennan, 1991) provides a useful framework for the examination of factors that affect the choice of communication medium. In particular, different learning objectives may be achieved with a variety of technological tools (e.g., from word processors to collaborative writing software) that exhibit a range of levels of technical sophistication.",46106146,10.1111/0026-7902.00050,
"Joan Manes, Nessa Wolfson, F. Coulmas",1981,The Compliment Formula,,185507260,10.1515/9783110809145.115,
G. Furstenberg,2001,Giving a virtual Voice to the Silent Language of Culture,,61131165,,
,2005,Communication topics and strategies in e-mail consultation: Comparison between american and international university students,,146296822,,
N. Ishihara,2007,Web-based Curriculum for Pragmatics Instruction in Japanese as a Foreign Language: An Explicit Awareness-raising Approach,"Pragmatic ability has been recognised as an essential component of communicative competence (Canale & Swain, 1980; Hymes, 1972). However, it has been largely neglected in today's second/foreign language (L2) instruction and teacher education; few curricular attempts for teaching pragmatics have been made. This paper describes a web-based pragmatics curriculum for learners of Japanese as a foreign language, and presents the key components and principles of the curriculum. The curriculum takes an explicit pragmatic-focused awareness-raising approach (learners-as-researchers/ethnographers, Bardovi-Harlig, 1996; Tanaka, 1997) with the intention to instil in learners a sense of appropriate language use. A series of awareness-raising tasks are provided throughout the curriculum that features naturalistic audio samples and empirically established pragmatic information. Learners study L2 pragmatics through various exercises while self-checking or self-evaluating the answers and electronically sending exercise responses to the teachers and curriculum writer through the web system. During 2003–2004, this curriculum was adopted in a third year university course where learners independently completed an assigned portion of the curriculum for an introductory unit and two speech act units. The paper also explores the instructional impact on 18 learners' pragmatic awareness as found in their reflective journaling.",145528326,10.2167/la398.0,
Jennifer R. Wishnoff,2000,Hedging your bets: L2 learners' acquisition of pragmatic devices in academic writing and computer-mediated discourse,,151420221,,
Meryl Siegal,1996,The Role of Learner Subjectivity in Second Language Sociolinguistic Competency: Western Women Learning Japanese.,"L'A. examine le role de la subjectivite de l'apprenant dans l'acquisition de la competence sociolinguistique d'une langue seconde. Afin d'analyser le point d'intersection entre l'identite de l'apprenant, la position sociale et l'acquisition d'une L2, il propose une etude de cas basee sur une femme occidentale apprenant le japonais. A travers l'analyse d'une conversation entre le sujet et son professeur, il decrit la co-construction dynamique de l'identite et de la competence sociolinguistique dans les interactions conversationnelles. Il recadre ainsi la discussion de l'interaction et les implications pour l'acquisition d'une L2 dans leur contexte social, culturel et historique",143715651,10.1093/APPLIN/17.3.356,
"Diana Boxer, A. Cohen",2004,Studying speaking to inform second language learning,,141516502,,
"T. Hudson, E. Detmer, J. D. Brown",1998,Developing prototypic measures of cross-cultural pragmatics,,143484080,10.2307/417610,
"J. Hall, A. Cheng, Matthew T. Carlson",2006,Reconceptualizing Multicompetence as a Theory of Language Knowledge,"Over the last decade or so, the concept of multicompetence has attracted significant research attention in the field of applied linguistics and in particular in the study of multiple language use and learning. We argue that while research efforts concerned with multicompetence have been useful in advancing a more positive view of second language learners, they have been less successful in transforming understandings of language knowledge. One reason for their lack of success is the fact that these efforts have been mired in a state of theoretical confusion arising from a continued reliance on three assumptions. These assumptions include (1) a view of L1 and L2 language knowledge as distinct systems; (2) the presumption of a qualitative distinction between multicompetence and monocompetence; and (3) the assumption of homogeneity of language knowledge across speakers and contexts. Our intent here is to redress these theoretical inadequacies by making a case for a usage-based view of multicompetence. We do so by drawing on empirical evidence and theoretical insights from other areas concerned with language and language development that expose the theoretical flaws in current research efforts on multicompetence. We then use these new understandings of language to reconsider findings on the language knowledge of multiple language users and to offer new directions for research on multicompetence.",146185888,10.1093/APPLIN/AML013,
Andrea Golato,2003,Studying Compliment Responses: A Comparison of DCTs and Recordings of Naturally Occurring Talk,"This article provides a detailed study of the differences between compliment responses collected with two different data collection procedures: naturally occurring data analysed through conversation analytic (CA) methodology, and elicited data collected via a discourse completion task (DCT). The DCT was designed to evoke the same discourse context and preceding cotext observed in the naturally occurring data. The article demonstrates that these data collection procedures do not always yield data that speak equally well to given research questions. It is argued that recording naturally occurring talk-in-interaction enables the researcher to study how language is organized and realized in natural settings, whereas responses from data elicitation procedures such as DCTs indirectly reflect the sum of prior experience with language. Additionally, the article discusses advantages and disadvantages of data collection procedures including questionnaires, recall protocols, role play, field observation, and recordings of naturally occurring talk-in-interaction. The article concludes by discussing the feasibility of generalizing findings generated from the aforementioned data-collection instruments.",143742875,10.1093/APPLIN/24.1.90,
N. Ishihara,2006,"Subjectivity, second/foreign language pragmatic use, and instruction: Evidence of accommodation and resistance",,155747253,,
Heidi D. Hyte,2002,The Effects of Computer-Based Metacognitive Strategy Training for Adult Second Language Learners,,60349687,,
T. McLean,2005,"""Why no tip?"" Student-generated DCTs in the ESL classroom",,186067199,,
Margaret Healey Beauvois,1992,Computer-Assisted Classroom Discussion in the Foreign Language Classroom: Conversation in Slow Motion,"This article explores an innovative use of computer-assisted language learning (CALL) in the form of a computer network used for real-time, synchronous discussion in intermediate Portuguese and elementary French classes. Of special interest to the author are the communicative opportunities offered by a local area network (LAN) in the teaching of foreign languages. She describes how computer-assisted classroom discussion (CACD) provides a unique environment for student-student and student-teacher interaction in an experimental networked laboratory established by the English Department at the University of Texas, Austin.",144219019,10.1111/J.1944-9720.1992.TB01128.X,
"C. Roberts, M. Byram, A. Barro, S. Jordan, B. Street",2000,Language Learners as Ethnographers,"This book describes a new approach to teaching and learning cultural studies. Borrowing the idea of ethnography from anthropologists, it argues that language students can be taught methods for investigating the cultural and social patterns of interaction and the values and beliefs that account for them. Doing an ethnographic study while living abroad immerses students in the life of particular groups, proving an intellectual challenge and the opportunity for intense intercultural encounters. The first half of the book discusses some of the current concepts in cultural and intercultural learning. The second half is a description of how the ethnography program can be run in higher education institutions, using extensive examples from ethnography courses and student projects. Overall, this book argues that the idea of language learners as ethnographers can be transferred to many contexts and that language learning should be interdisciplinary. This book is relevant to teachers of modern and foreign languages, European Studies, Latin American Studies and to teachers of upper secondary school students and trainers in intercultural communication.",142146329,10.21832/9781853596810,
"Dale A. Koike, Lynn Pearson",2005,The effect of instruction and feedback in the development of pragmatic competence,,144381812,10.1016/J.SYSTEM.2005.06.008,
"J. Belz, S. Thorne",2006,Internet-mediated intercultural foreign language education,,142302946,,
J. Mey,2001,Pragmatics: An Introduction,,60719956,,
"Nessa Wolfson, Elliot L. Judd",1983,Sociolinguistics and Language Acquisition,,140392147,,
"Claire J. Kramsch, R. Andersen",1999,Teaching Text and Context Through Multimedia,,18058014,,
Lawrence F. Bouton,1994,Can NNS Skill in Interpreting Implicature in American English Be Improved through Explicit Instruction?--A Pilot Study.,,61496537,,
Virginia Locastro High,2003,An introduction to pragmatics : social action for language teachers,,60270469,,
"Manka M. Varghese, Kristine Billmyer",1996,Investigating the Structure of Discourse Completion Tests.,,264768044,,
Satomi Takahashi,2005,Noticing in task performance and learning outcomes: A qualitative analysis of instructional effects in interlanguage pragmatics,,62577556,10.1016/J.SYSTEM.2005.06.006,
Jenny A. Thomas,1983,Cross-Cultural Pragmatic Failure,"/ have given the term pragmatic failure' to the inability to understand 'what is meant by what is said'. In this paper I argue that pragmatic failure is an area of cross-cultural communication breakdown which has received very little attention from language teachers. I suggest that there is one area of pragmatic failure ('pragmalinguistic failure') which is fairly easy to overcome. It is simply a question of highly conventionalized usage which can be taught quite straightforwardly as 'part of the grammar'. The second area ('sociopragmatic failure') is much more difficult to deal with, since it involves the student's system of beliefs as much as his/her knowledge of the language. I argue that it is essential to avoid prescriptivism in this very sensitive area of language in use. To do so we must draw on insights from theoretical pragmatics and develop ways of heightening and refining students' metapragmatic awareness, so that they are able to express themselves as they choose.",35667508,10.1093/APPLIN/4.2.91,
"A. Cohen, N. Ishihara",2010,Teaching and Learning Pragmatics: Where Language and Culture Meet,,60925846,,
