authors,title,year,abstract,doi,link,search_method
Francisco Lorenzo and others,The Effects of Content and Language Integrated Learning in European Education: Key Findings from the Andalusian Bilingual Sections Evaluation Project,2009,"... for L2 learning. When it comes to the L1, however, both coordinator interviews and questionnaires administered to the L1 teachers suggest that CLIL tends to be regarded primarily as a means to improve second (foreign) language development. L1 teachers appear reluctant to participate in integration; some...",10.1093/applin/amp041,https://doi.org/10.1093/applin/amp041,manual_journal_search[applied_linguistics]
Ivor Timmis,‘Tails’ of Linguistic Survival,2009,"... of the Bolton Area. In the extract above, for example, we see the following dialect features which are described in Shorrocks ( 1999 ):    ‘bad’ as an adverb form    ‘geet’ as the past of ‘get’    ‘were’ as the third person past simple of ‘to be’    ‘art’ as the second person cliticized form...",10.1093/applin/amp028,https://doi.org/10.1093/applin/amp028,manual_journal_search[applied_linguistics]
Phoenix W. Y. Lam,Discourse Particles in Corpus Data and Textbooks: The Case of Well,2009,... is used in real-world examples and how its use is described and presented in teaching materials. This raises the question to what extent foreign language learners who have minimal exposure to naturally-occurring spoken interactions in English could effectively master the use of discourse particles...,10.1093/applin/amp026,https://doi.org/10.1093/applin/amp026,manual_journal_search[applied_linguistics]
Alison Sealey,"Probabilities and Surprises: A Realist Approach to Identifying Linguistic and Social Patterns, with Reference to an Oral History Corpus",2009,"... designed to identify whether particular language teaching strategies ‘work’—and with the range of conflicting findings that they generate. The realist approach, by contrast, does not begin with social categories decided a priori—gender (or sex), or ethnicity, or age-group or social class. Instead...",10.1093/applin/amp023,https://doi.org/10.1093/applin/amp023,manual_journal_search[applied_linguistics]
Guoxing Yu,Lexical Diversity in Writing and Speaking Task Performances,2009,"... seem to be both ‘prolific’ and problematic, not only within a discipline but across disciplines such as stylometry, psychology, speech pathology, forensic linguistics, corpus linguistics, and applied educational linguistics (e.g. language assessment and second language acquisition). Measuring lexical...",10.1093/applin/amp024,https://doi.org/10.1093/applin/amp024,manual_journal_search[applied_linguistics]
Jieun Lee,Interpreting Inexplicit Language during Courtroom Examination,2009,"... witnesses may be perceived as difficult to interpret, and how such difficulties can be dealt with by court interpreters. Focusing on the ambiguity contained in some CALD witnesses’ evidence, this article will examine first why such speech may be challenging for court interpreters, and second, what...",10.1093/applin/amn050,https://doi.org/10.1093/applin/amn050,manual_journal_search[applied_linguistics]
Michael Stubbs,Memorial Article: John Sinclair (1933–2007): The Search for Units of Meaning: Sinclair on Empirical Semantics,2009,... parole and to Chomsky's withdrawal into introspection. Sinclair has shown that we now have the technology to discover patterns in raw textual data—and that these patterns are rather different from what we previously thought. His slogan for the approach is ‘trust the text’ (Sinclair  2004a ). Second...,10.1093/applin/amn052,https://doi.org/10.1093/applin/amn052,manual_journal_search[applied_linguistics]
Noriko Iwasaki,Style Shifts among Japanese Learners before and after Study Abroad in Japan: Becoming Active Social Agents in Japanese,2008,"... the styles.  Societal interactions are structured by sociocultural norms of communities and are not easy to replicate in foreign language classrooms. Study abroad experiences provide second language (L2) learners with opportunities to observe first-hand how the language is used, to use the language...",10.1093/applin/amn047,https://doi.org/10.1093/applin/amn047,manual_journal_search[applied_linguistics]
Julie Radford,Practices of Other-Initiated Repair in the Classrooms of Children with Specific Speech and Language Difficulties,2008,"... provided that the language is accessible and allowance is made for their expressive difficulties. There is preliminary evidence that specialist language teachers engage in dialogic teaching with children with specific language difficulties during small group activities, such as story writing and news...",10.1093/applin/amn046,https://doi.org/10.1093/applin/amn046,manual_journal_search[applied_linguistics]
Ling Shi,Textual Appropriation and Citing Behaviors of University Undergraduates,2008,"... markings of learning and knowledge construction.  To explore students’ perceptions of plagiarism, a second strand of research explored students’ abilities to identify plagiarized texts by using questionnaires that contained examples of edited rewritten versions with their sources (McCormick  1989 ; Deckert...",10.1093/applin/amn045,https://doi.org/10.1093/applin/amn045,manual_journal_search[applied_linguistics]
Zhengdong Gan and others,Topic Negotiation in Peer Group Oral Assessment Situations: A Conversation Analytic Approach,2008,"... assessment scheme being used with Cantonese-speaking English as second language learners aged 14–17 (School-Based Assessment Consultancy Team 2006). Teacher agreement about assessment standards is designed to be achieved through a careful process of task development and specification, the use of detailed...",10.1093/applin/amn035,https://doi.org/10.1093/applin/amn035,manual_journal_search[applied_linguistics]
