authors,year,title,abstract,document_type,doi,link,search_method
A. Barron,2000.0,For a return to the forgotten formula: 'Data 1 + Data 2 > Data 1': The example of learners' offers and refusals of offers,,,,,forward
A. Barron,2002.0,Acquiring ‘ different strokes ’ A longitudinal study of the development of L 2 pragmatic competence,,,,,forward
"A. Barron, Klaus P. Schneider",2009.0,Variational pragmatics: Studying the impact of social factors on language use in interaction,"Intercultural pragmatics is usually associated with pragmatic di¤erences between di¤erent languages. This seems to be the default reading of the term. However, this reading tacitly ignores that there is no one-to-one relationship between languages and cultures.1 Speakers who share the same native language do not necessarily share the same culture. For instance, native speakers of English in Ireland and the United States use language in di¤erent ways (e.g., Schneider 1999, 2008). Neither do Americans in the US all use English in the same way (cf., e.g., Barron 2009; Wolfram and Schilling 2006: 93–101). On the other hand, cultures may be shared by speakers with di¤erent native languages. Thus, as language use in interaction is shaped by cultural values, pragmatic similarities may occur across languages, while pragmatic di¤erences may occur across varieties of the same language. Variational pragmatics is a subdiscipline of intercultural pragmatics. Other subdisciplines include contrastive pragmatics, cross-cultural pragmatics, ethnopragmatics, interlanguage pragmatics, and postcolonial pragmatics. Contrastive pragmatics is concerned with inter-lingual di¤erences, i.e., with pragmatic variation between di¤erent languages. Crosscultural pragmatics, on the other hand, compares the ways in which different languages are used in communication. It also deals with native speaker—non-native speaker interaction and with lingua franca communication (cf. Blum-Kulka et al. 1989; House-Edmondson 1986: 282).2 Ethnopragmatics is concerned with explaining speech practices in terms of a culture-internal perspective (e.g., in terms of values) rather than in terms of presumed pragmatic universals (cf. Goddard 2006). Interlanguage pragmatics focuses on the specific nature of language use conventions in learner language, e.g., in the English as a foreign language spoken by native speakers of German, and also on the acquisition of these conventions by learners (cf. Kasper 1998; Kasper and Rose 1999; Barron 2003: 26–28). The use of second (as opposed to foreign) languages in interaction is studied in postcolonial pragmatics. In other words, this",,10.1515/IPRG.2009.023,https://doi.org/10.1515/IPRG.2009.023,forward
"A. Barron, Muriel Warga",2007.0,Acquisitional pragmatics: Focus on foreign language learners,"Abstract 1. Introduction Calls for research into the acquisition of pragmatic competence in a second language have been a familiar feature of the interlanguage pragmatic landscape since the 1990s. Indeed, one of the first of these many calls was made as early as 1992 by Kasper in an article focusing on pragmatic transfer. In this article, she writes “… the majority of interlanguage pragmatics studies focus on use, without much attempt to say or even imply anything about development” (1992: 204) (cf. also Kasper & Dahl 1991). This observation was then verbalized rather forcefully in a very influential publication written by Kasper and Schmidt (1996) dedicated exclusively to the acquisition of second language (L2) pragmatic competence and designed “… to profile interlanguage pragmatics as an area of inquiry in second language acquisition research …” (1996: 149). In this seminal publication, they write: Interlanguage pragmatics, the study of the development and use of strategies for linguistic action by nonnative speakers, has a peculiar status in second language research. Unlike other areas of second language study, which are primarily concerned with acquisitional patterns of interlanguage knowledge over time, the great majority of studies in ILP has not been developmental. Rather, focus is given to the ways NNSs' pragmalinguistic and sociopragmatic knowledge differs from that of native speakers (NSs) and among learners with different linguistic and cultural backgrounds. To date, ILP has thus been primarily a study of second language use rather than second language learning. (1996: 150)",,10.1515/IP.2007.008,https://doi.org/10.1515/IP.2007.008,forward
"A. Barron, Muriel Warga, I. Pragmatics",2007.0,Acquisitional pragmatics,,,,,forward
"A. Cogo, M. Dewey",2006.0,Efficiency in ELF Communication: From Pragmatic Motives to Lexico-grammatical Innovation,"The considerable demographic shift in the use of English worldwide, with the effect that L2 speakers outnumber L1 speakers, particularly as typified in English as a Lingua Franca (ELF) communication, is now widely acknowledged in Applied Linguistics. To a certain extent the resulting impact this has in relation to key issues such as the ownership of English has also been recognised. Description of the linguistic consequences of this shift however is less established, and lingua franca corpora are still in their relatively early stages of development, though growing in momentum. This paper will contribute to the emerging body of work that does report on empirical studies in the field, drawing on two corpora of naturally occurring lingua franca interactions which have been gathered for PhD projects at King's College London. To date reported ELF research projects have tended to focus separately on one or other linguistic system, on phonology (e.g. Jenkins 2000; 2005), and to a lesser extent on pragmatics (e.g. House 1999), and on lexicogrammatical features (cf Seidlhofer 2004). The focus of this paper is to report on findings in both pragmatics and lexicogrammar, and in so doing to identify the interrelationship between the two systems and highlight ways in which they are mutually constitutive. The paper aims to show how pragmatic motives can lead to changes in the lexis and grammar, and in turn how lexicogrammatical innovations impact on pragmatic norms and strategies.",,10.35360/NJES.12,https://doi.org/10.35360/NJES.12,forward
A. Cohen,2001.0,From L1 to L12: The Confessions of a Sometimes Frustrated Multiliterate,,,10.21832/9781853597046-010,https://doi.org/10.21832/9781853597046-010,ancestry
A. Cohen,2005.0,Strategies for learning and performing L2 speech acts,"Abstract This article presents a taxonomy of language learner strategies which are offered in support of learners in their efforts to obtain knowledge about speech acts and to perform them more effectively. Relevant language learner strategy literature and speech act literature are reviewed. After defining language learning and use strategies, the article makes the case for enhancing learner strategies in developing speech act ability. Next, as a lead up to the presentation of the taxonomy of strategies, the issue of where learners are to find empirical sources for speech act material is addressed, with attention given to the current concerns for naturally-occurring data. This is followed by a review of literature on efforts to teach pragmatics. The article concludes with a discussion of suggested avenues for validating the strategy taxonomy.",,10.1515/iprg.2005.2.3.275,https://doi.org/10.1515/iprg.2005.2.3.275,ancestry
A. Cohen,2005.0,Strategies for learning and performing L2 speech acts,"Abstract This article presents a taxonomy of language learner strategies which are offered in support of learners in their efforts to obtain knowledge about speech acts and to perform them more effectively. Relevant language learner strategy literature and speech act literature are reviewed. After defining language learning and use strategies, the article makes the case for enhancing learner strategies in developing speech act ability. Next, as a lead up to the presentation of the taxonomy of strategies, the issue of where learners are to find empirical sources for speech act material is addressed, with attention given to the current concerns for naturally-occurring data. This is followed by a review of literature on efforts to teach pragmatics. The article concludes with a discussion of suggested avenues for validating the strategy taxonomy.",,10.1515/iprg.2005.2.3.275,https://doi.org/10.1515/iprg.2005.2.3.275,ancestry
A. Cohen,2008.0,Teaching and assessing L2 pragmatics: What can we expect from learners?,"This paper starts by giving a rationale for why there is value in explicitly teaching second-language (L2) learners pragmatics in the target language. The importance of a research basis for choosing pragmatic materials to teach is underscored, and the focus is put on sources for materials on pragmatics and the means of data collection. Issues in the teaching of pragmatics are considered, including determining which material to teach, how to prepare teachers to teach it, and the role of teachers in facilitating the learning of pragmatics. Next, L2 pragmatics is viewed from the learners' perspective, in terms of the learning and performance of pragmatics, as well as approaches to assessing what it is that learners are able to do in a pragmatically appropriate way. Finally, consideration is given to the role of technology in making pragmatics accessible to learners, with reference to a website for teachers and curriculum writers and to websites designed for learners of specific languages such as Japanese and Spanish. Recent work on virtual environments for practicing Spanish pragmatics is discussed and preliminary findings from a small-scale study of this effort are reported.",,10.1017/S0261444807004880,https://doi.org/10.1017/S0261444807004880,ancestry
"A. Cohen, Elite Olshtain",1981.0,DEVELOPING A MEASURE OF SOCIOCULTURAL COMPETENCE: THE CASE OF APOLOGY1,"For a number of years, there has been interest in measuring sociocultural competence (Ervin-Tripp 1972, Hymes 1974, Canale and Swain 1980). This study focuses on one important aspect of such competence: the ability to use the appropriate sociocultural rules of speaking, by reacting in a culturally acceptable way in context and by choosing stylistically appropriate forms for that context. We chose to look at productive performance in sociocultural aspects of speaking, focusing on the speech act of “apology.” The research question that prompted this study was, “Can a rating scale be developed for assessing sociocultural competence?” The subjects were 32 native Hebrew speakers, 20 of whom served as informants for apologies in English LZ and 12 as informants in Hebrew LI, and 12 Americans who served as informants in English LI. These subjects were asked to role-play their responses in eight situations in which an apology was expected. The findings show that it is possible to identify culturally and stylistically inappropriate L2 utterances in apology situations. The authors feel, however, that the results so far provide at best a crude measure of sociocultural competence and that further work with this speech act and with others is called for.",,10.1111/J.1467-1770.1981.TB01375.X,https://doi.org/10.1111/J.1467-1770.1981.TB01375.X,ancestry
"A. Cohen, Rachel L. Shively",2007.0,Acquisition of Requests and Apologies in Spanish and French: Impact of Study Abroad and Strategy-Building Intervention,"The primary aim of this study was to assess the impact of a curricular intervention on study-abroad students’ use of language- and culture-learning strategies and on their acquisition of requests and apologies. The intervention consisted of a brief face-to-face orientation to learning speech acts, a self-study guidebook on language and culture strategies, which included strategies for learning speech acts, and electronic journaling by the students. The study used an experimental design in which the participants, all university students (N = 86) who spent 1 semester abroad in a Spanish- or a French-speaking country, were randomly assigned to an experimental (E) group (N= 42) or to a control (C) group (N= 44). The findings indicated that the students as a whole improved their request and apology performance over the course of 1 semester, as rated by the Spanish and French native speakers. In addition, whereas there were no statistically significant differences between the E and C groups in their rated speech act performance overall, a qualitative analysis of speech act development among learners of Spanish (N= 67) helped to identify areas in which their performance on requests and apologies either resembled that of native speakers or diverged from it. Although fewer students than native speakers used the “query preparatory with verbal downgrading,” there appeared to be some increase in the use of this strategy by study-abroad students from pre- to posttest, especially among the E group students, perhaps suggesting that for some of these students awareness about mitigating requests was enhanced by the treatment. In making apologies, not as many study-abroad students intensified their apologies in instances where native speakers tended to do so. Likewise, the percentage of study-abroad students who acknowledged responsibility for certain infractions tended to be lower than that of the native speakers, suggesting that these nonnative speakers were unaware of sociopragmatic norms for what might be expected in such situations.",,10.1111/J.1540-4781.2007.00540.X,https://doi.org/10.1111/J.1540-4781.2007.00540.X,ancestry
"A. Ghobadi, M. Fahim",2009.0,The effect of explicit teaching of English “thanking formulas” on Iranian EFL intermediate level students at English language institutes,,,10.1016/J.SYSTEM.2009.02.010,https://doi.org/10.1016/J.SYSTEM.2009.02.010,ancestry
