authors,year,title,abstract,document_type,doi,link,search_method
,2009,Contents of Volume 41 (2008),,,10.1111/j.1944-9720.2009.01028.x,https://doi.org/10.1111/j.1944-9720.2009.01028.x,manual_search[foreign_language_annals]
A Holliday,1999,Small cultures,"... vulnerable to a culturist reduction of 'foreign' students, teachers and their educational contexts. In contrast, a small culture paradigm attaches 'culture' to small social groupings or activities wherever there is cohesive behaviour, and thus avoids culturist ethnic, national or international...",,10.1093/applin/20.2.237,https://doi.org/10.1093/applin/20.2.237,manual_journal_search[applied_linguistics]
A Wray,2000,Formulaic sequences in second language teaching: principle and practice,"... to the teaching of formulaic sequences. 468  FORMULAIC SEQUENCES IN SECOND LANGUAGE TEACHING  THE TEACHING OF FORMULAIC SEQUENCES There is general consensus that formulaic sequences are extremely dicult for the L2 learner to master (Moon 1992, Scarcella 1979, Yorio 1980, 1989). Kuiper and Tan Gek Lin (1989...",,10.1093/applin/21.4.463,https://doi.org/10.1093/applin/21.4.463,manual_journal_search[applied_linguistics]
ADRIAN HOLLIDAY,1996,Developing a Sociological Imagination: Expanding Ethnography in International English Language Education,"... thread in western discourse about ""primitive"" culture and racial inferiority' (Cameron etal 1992 3) Thistnbahzationoftheo//ierisa temptation not only in the practice of research, but also in the practice of foreign or second language teaching methodology Here, there is still considerable cultural...",,10.1093/applin/17.2.234,https://doi.org/10.1093/applin/17.2.234,manual_journal_search[applied_linguistics]
ALASTAIR PENNYCOOK,1994,Incommensurable Discourses?,"... of language teaching. In 1980, in their introductory article, 'Discourse analysis, what's that to Larsen-Freeman's (1980) edited book, Discourse Analysis in Second Language Research, Hatch and Long (1980: 1) pointed to the need 'to go beyond sentence-level syntax if we wanted to understand how meaning...",,10.1093/applin/15.2.115,https://doi.org/10.1093/applin/15.2.115,manual_journal_search[applied_linguistics]
ANDREA TYLER,1994,The Role of Syntactic Structure in Discourse Structure: Signaling Logical and Prominence Relations,"...ANDREA TYLER Abstract  A qualitative investigation of varying syntactic patterns and their effects on discourse structure was undertaken. The discourse under consideration was the lectures of two first-semester teaching assistants (TAs) in a botany lab, one a native speaker of American English...",,10.1093/applin/15.3.243,https://doi.org/10.1093/applin/15.3.243,manual_journal_search[applied_linguistics]
ANN WENNERSTROM,1994,Intonational Meaning in English Discourse: A Study of Non-Native Speakers,"... to using this model as a basis for L2 research. First, the task of determining what part of an intonation contour is meaningful is  simplified. Because it contains discrete points, it is easy to take measurements  and make comparisons. Second, since Pierrehumbert's (1980) work has been  applied...",,10.1093/applin/15.4.399,https://doi.org/10.1093/applin/15.4.399,manual_journal_search[applied_linguistics]
Alison Sealey,2009,"Probabilities and Surprises: A Realist Approach to Identifying Linguistic and Social Patterns, with Reference to an Oral History Corpus","... designed to identify whether particular language teaching strategies ‘work’—and with the range of conflicting findings that they generate. The realist approach, by contrast, does not begin with social categories decided a priori—gender (or sex), or ethnicity, or age-group or social class. Instead...",,10.1093/applin/amp023,https://doi.org/10.1093/applin/amp023,manual_journal_search[applied_linguistics]
Aneta Pavlenko,2007,Autobiographic Narratives as Data in Applied Linguistics,"... are not to blame however: none of the textbooks on second language (L2) research teach them how to analyze narratives, either fictional or personal, nor do guides to the analysis of life histories deal with the unique challenges of translating one's life story into a second language. The purpose of this paper...",,10.1093/applin/amm008,https://doi.org/10.1093/applin/amm008,manual_journal_search[applied_linguistics]
Anne Pomerantz and Nancy D. Bell,2007,"Learning to Play, Playing to Learn: FL Learners as Multicompetent Language Users","... foreign language (FL) teachers at the university level have embraced communicative approaches, classrooms now offer opportunities for new and more varied forms of talk, including language play. Whereas choral repetitions, grammar drills, and translations were once the norm, contemporary FL classrooms...",,10.1093/applin/amm044,https://doi.org/10.1093/applin/amm044,manual_journal_search[applied_linguistics]
Asta Cekaite,2008,"Soliciting Teacher Attention in an L2 Classroom: Affect Displays, Classroom Artefacts, and Embodied Action","... of delicately calibrated collaborative accomplishments. L2 novices  summonses  embodied action  affective stances  classroom artefacts  The present paper explores how primary school students solicit and secure teachers’ attention and participation in an immersion class context, where a second language (L2...",,10.1093/applin/amm057,https://doi.org/10.1093/applin/amm057,manual_journal_search[applied_linguistics]
Asta Cekaite and Karin Aronsson,2005,"Language Play, a Collaborative Resource in Children's L2 learning","...’ acquisition of a second language (Lantolf 1997; Ohta 2001). Moreover, teachers’ joking and playful formats in L2 classrooms have been addressed in investigations by Sullivan (2000a, b) and van Dam  (2002).   Within such ludic models of language learning, language play is seen as a pedagogic tool...",,10.1093/applin/amh042,https://doi.org/10.1093/applin/amh042,manual_journal_search[applied_linguistics]
B Rampton,1999,"Dichotomies, difference, and ritual in second language learning and teaching","... of specialized skills and knowledge that the teachers themselves have reached but that others might not. 326  SECOND LANGUAGE LEARNING AND TEACHING    There is a signi®cant amount ofdescriptive ¯exibility in this formulation, since the identities and category memberships that are drawn into relations...",,10.1093/applin/20.3.316,https://doi.org/10.1093/applin/20.3.316,manual_journal_search[applied_linguistics]
BARBARA STRODT-LOPEZ,1991,Tying it all in: Asides in university lectures,"...:    in other words,   Hobbes is the 'first em'phatic teacher   he learns this fundamentally from Machiavelli, +   but 'Hobbes is the first codifier +   of + a teaching +   which utterly separates   ethics and politics.   they become separate 'subject matters, ++   which of course +   in nature...",,10.1093/applin/12.2.117,https://doi.org/10.1093/applin/12.2.117,manual_journal_search[applied_linguistics]
BERNARD McKENNA,1997,How Engineers Write: An Empirical Study of Engineering Report Writing,"... information about the extent and position of the engineers' conversion of real-world entities, events, and processes into scientific concepts as it is the second most common thematic categorization It is claimed also that the small proportion of unmarked subject-themes in the Participant Domain of engineering...",,10.1093/applin/18.2.189,https://doi.org/10.1093/applin/18.2.189,manual_journal_search[applied_linguistics]
BERNARD SPOLSKY,1989,"Communicative Competence, Language Proficiency, and Beyond","... ACTFL Provisional Proficiency Guidelines, 1982. Hastingson-Hudson, NY: American   Council on the Teaching of Foreign Languages. Adams, R. J., P. E. Griffin, and L. Martin. 1987. 'A latent trait method for measuring a   dimension in second language proficiency.' Language Testing 4: 9-27. Austin, J. L...",,10.1093/applin/10.2.138,https://doi.org/10.1093/applin/10.2.138,manual_journal_search[applied_linguistics]
BILL JOHNSTON and others,1998,Effect of Rejoinders in Production Questionnaires,... was examined by Rose (1992) While  Bardovi-Harlig and Hartford (1993) focused on the impact of an interlocutor's initiation on respondents' second pair parts. Rose looked into the effect of an interlocutor's second pair part on the production of initiating acts Ques- tionnaire items eliciting requests...,,10.1093/applin/19.2.157,https://doi.org/10.1093/applin/19.2.157,manual_journal_search[applied_linguistics]
BRIAN PALTRIDGE,1994,Genre Analysis and the Identification of Textual Boundaries,"..., Kress, Martin, Cope, and Rothery 1989; Martin 1989; Derewianka 1990; Drury and Webb 1991; Cope and Kalantzis 1993).   Another important area of influence, particularly in the fields of second and foreign language learning and teaching (including what is generally described as English for Specific...",,10.1093/applin/15.3.288,https://doi.org/10.1093/applin/15.3.288,manual_journal_search[applied_linguistics]
Bruce Anderson,2007,Pedagogical Rules and their Relationship to Frequency in the Input: Observational and Empirical Data from L2 French,"... word-order constructions,’  Pedagogical Norms for Second and Foreign Language Learning and Teaching  2002  Amsterdam  Benjamins  183  98        Koike  DA    Liskin-Gasparro  JE      Blyth  CS    ‘Privilege of the nonnative speaker meets practical needs of the language teacher,’  The Sociolinguistics...",,10.1093/applin/amm015,https://doi.org/10.1093/applin/amm015,manual_journal_search[applied_linguistics]
CATHERINE PETTINARI,1983,The Function of a Grammatical Alternation in Fourteen Surgical Reports*,....   The specialist informant is consulted in order to gain access to technical information. Selinker (1979) adopted a similar approach. Selinker's goal was to address the problem that many ESL teachers have faced: that of teaching students to read materials in English which the native-speaking teachers do...,,10.1093/applin/4.1.55,https://doi.org/10.1093/applin/4.1.55,manual_journal_search[applied_linguistics]
CHARLES OWEN,1993,Corpus-Based Grammar and the Heineken Effect: Lexico-grammatical Description for Language Learners1,"..., new insights into language structure afforded by concordances of very large amounts of data and second, the need for a pedagogic reference book which captured those insights and harmonized with new developments in language teaching. In the same way that grammars such as Thomson and Martinet (4th...",,10.1093/applin/14.2.167,https://doi.org/10.1093/applin/14.2.167,manual_journal_search[applied_linguistics]
CLAUS FAERCH and GABRIELE KASPER,1984,Pragmatic Knowledge: Rules and Procedures,"... to see pragmatic research contribute to the development of ways of improving the learning and teaching of pragmatic knowledge in a foreign language. To serve this purpose, it is essen- tial that pragmatics not only relates pragmatic knowledge to speech production/ reception and to principles...",,10.1093/applin/5.3.214,https://doi.org/10.1093/applin/5.3.214,manual_journal_search[applied_linguistics]
