authors,year,title,abstract,corpus_id,doi,author
J. Cenoz,2005,BILINGUALISM: BEYOND BASIC PRINCIPLES,"BILINGUALISM: BEYOND BASIC PRINCIPLES. Jean-Marc Dewaele, Alex Housen, and Li Wei (Eds.). Clevedon, UK: Multilingual Matters, 2003. Pp. ix +233. £49.90 cloth, £22.95 paper. This volume is a festschrift in honor of Hugo Baetens Beardsmore on the occasion of his sixtieth birthday and the twentieth anniversary of the publication of his book Bilingualism: Basic principles (1982). The volume includes 12 articles in addition to an introduction and a laudatio. The volume reflects the important developments of studies in bilingualism in the last 20 years and covers a great variety of areas related to the sociolinguistic, educational, and psycholinguistic dimensions of bilingualism. The first chapter is a reprint of one of Baetens Beardsmore's lesser known publications (1988) and discusses the fears of bilingualism at different levels. Fifteen years later, this chapter still addresses the most important issues related to bilingualism often discussed by teachers, parents, and policy makers. The next three chapters focus on the social aspects of bilingualism: Edwards discusses bilingualism and identity in chapter 2, Clyne addresses the role of intrinsic motivation and metalinguistic awareness in bilingualism in chapter 3, and Cummins examines the differences between the criticism against bilingual education in the American press and the positive results of research on the outcomes of bilingualism in chapter 4. These three chapters each have a different focus but taken together provide an interesting perspective of the social factors affecting bilingualism. Chapter 5 by Martin and chapter 7 by Jones discuss multilingual education in Brunei. These two chapters describe the languages used in schools, the educational context, and the most recent changes in education in Brunei and could be of interest for educators in other bilingual contexts. Chapter 6 by Baker and chapter 8 by Wei and Milroy both discuss language and society but focus on minority languages in two completely different settings—Wales and Singapore. Both chapters discuss interesting theoretical aspects that are then applied to specific settings. Chapter 9 (Fraser Gupta) has a very weak link to the rest of the chapters in the book and analyzes seven self-study books of Malay from different periods. Chapter 10 (Lüdi) and chapter 11 (Myers-Scotton) discuss interesting theoretical aspects of codeswitching, and the last chapter (Genesee) focuses on the similarities and differences between early monolingual and bilingual acquisition. These three chapters are more research oriented than the rest of the chapters in the book, both because of their theoretical basis and the empirical data they discuss. They may also be the most interesting for researchers in SLA.",142634697,10.1017/S0272263105280051,
"Laura Collins, P. Trofimovich, Joanna L White, W. Cardoso, Marlise Horst",2009,Some Input on the Easy/Difficult Grammar Question: An Empirical Study,"The purpose of this study was to determine whether it is possible to distinguish between “difficult” and “easy” constructions for second language (L2) learners by examining characteristics of the structures as they occur in aural input. In a multidimensional analysis of 3 English structures with different acquisition profiles—the simple past, possessive determiners his/her, and the progressive aspect—we examined the phonological, morphosyntactic, and lexicosemantic characteristics of the forms as they occurred in a 110,000-word corpus of instructional talk to L2 learners. We analyzed the type/token distributions of the forms, their lexical properties, and their perceptual salience. Our findings revealed key input factors that distinguished between the early-acquired progressive, on the one hand, and the later-acquired past and his/her determiners, on the other hand. These results lend support to theoretical accounts of the input–acquisition relationship and also generate hypotheses for manipulating instructional input to increase the salience of opaque constructions. [ABSTRACT FROM AUTHOR]",145018300,10.1111/J.1540-4781.2009.00894.X,
"M. Canale, M. Swain",1980,THEORETICAL BASES OF COMMUNICATIVE APPROACHES TO SECOND LANGUAGE TEACHING AND TESTING,,197656439,10.1093/APPLIN/I.1.1,
K. Fordyce,2014,The differential effects of explicit and implicit instruction on EFL learners’ use of epistemic stance,"This study investigated the immediate and long-term effects of explicit and implicit classroom interventions on L2 pragmatics. The linguistic focus of the interventions was epistemic stance, which has rarely been studied in research on instructed SLA within the field of interlanguage pragmatics. Eighty-one learners of English at a Japanese university were divided into explicit (n = 37) and implicit (n = 44) groups for 3 hours of instruction. Written production data were collected before the interventions, immediately after them, and five months later. Learners' use of epistemic stance forms was analysed by using: (i) a measure of individual use of epistemic stance forms; and (ii) learner corpus analysis. The explicit intervention was found to be considerably more effective than the implicit intervention in both the short- and long-term for most of the targeted forms. However, in cases when learners lacked a form for a specific function before the intervention, both types of instruction appeared to be equally effective. While this research generally provides strong support for explicit instruction, the potential of implicit interventions for certain forms needs further investigation.",145583248,10.1093/APPLIN/AMS076,
Yo-an Lee,2006,Towards respecification of communicative competence : Condition of L2 instruction or its objective?,"The concept of communicative competence is one of the most influential theoretical developments in language education as it helped redefine the objectives of L2 instruction and the target language proficiency. While acknowledging these contributions, this paper asks if the conceptual formulation of communicative competence has other relevancies for our understanding of the realities of language use in L2 instructional settings. Classroom interaction itself is an occasion of language use that relies on the competence of the parties to the interaction; the competence that is already in the room is then a constitutive feature of the work-practices of teaching and learning. Informed by Ethnomethodology and Conversation Analysis, this paper proposes that communicative competence may be as much the condition of L2 instruction, one that makes L2 instruction possible in the first place, as its target outcome. Brief analyses of transcripts from ESL classrooms are offered to demonstrate how the communicative competence found in L2 classrooms is a contingent resource for language teaching and learning.",7483022,10.1093/APPLIN/AML011,
Ruth Kanagy,1999,Interactional routines as a mechanism for L2 acquisition and socialization in an immersion context,,144292739,10.1016/S0378-2166(98)00113-1,
"Hossein Vahid Dastjerdi, Majid Farshid",2011,The Role of Input Enhancement in Teaching Compliments,"To date, research regarding the effectiveness of instruction on the development of interlanguage pragmatics has favored an explicit instruction of the speech acts. A question which has received scant attention is what kind of explicit instruction is more beneficial in a foreign language setting. The fact that speech acts reflect, for the most part, routinized language behavior helps learners because much of what is used in performing speech acts could be learned as prefabricated units. This study is an attempt to practically test this routinized nature of speech acts focusing on compliment giving. To this purpose, two groups were chosen as control and experimental groups and both were instructed by different procedures of input enhancement; the former was taught through Form Comparison procedure and the latter through explicit instruction using Wolfson and Manes (1980) formula of compliment giving. The result clearly indicated that the experimental group outperformed the control group in giving compliments, indicating once again that the routinized nature of speech acts could be utilized in helping learners develop their interlanguage pragmatics.",62567889,10.4304/JLTR.2.2.460-466,
Rachel L. Shively,2010,From the virtual world to the real world: a model of pragmatics instruction for study abroad,"Abstract: With its focus on the use of language forms in cultural context, the study of pragmatics can be a valuable component in a program that prepares students to learn both language and culture in study abroad. The goal of the present study is to propose a model for pragmatic instruction in study abroad that fosters both intercultural competence and language skills, is informed by research and practice, and takes advantage of the affordances that an immersion environment and new technologies offer. The article provides an overview of the pertinent research, discusses the pedagogical implications of an ethnographic research project on the acquisition of Spanish pragmatics in study abroad, and presents a model for pragmatic instruction in the study abroad context. Key words: intercultural competence, pedagogical intervention, pragmatic development, second language acquisition, study abroad As a second rather than a foreign language environment, the study abroad (SA) context is considered by some to constitute, a priori, a ''rich'' environment for language and culture learning. However, research in the past two decades indicates that SA students do not always experience the intense exposure to the target language (TL) and culture and the accompanying gains in language proficiency and intercultural competence that were once assumed (DeKeyser, 1991; Freed, 1999; Laubscher, 1994; Miller & Ginsberg, 1995; Pelligrino, 1998; Wilkinson, 1998). In some cases, for example, SA students do not improve their TL skills more than peers who stay at home and study the TL (cf. Freed, 1995; Rodri'guez, 2001). The reasons why a sojourn abroad does not always result in the expected language- and culture-learning outcomes are numerous and complex (cf. Kinginger& Belz, 2005; Magnan & Back, 2007; Pelligrino, 1998; Polanyi, 1995). For example, opportunities for social interaction with members of the host culture may be restricted by difficulty in making contacts (Barron, 2003; Ife, 2000), by experiences of racial and gender discrimination (Polanyi, 1995; Talburt & Stewart, 1999), and by living arrangements (Churchill, 2003; Knight & Schmidt-Rinehart, 2002). However, one way to foster positive language- and culture-learning outcomes in SA is to provide students with training and instruction in language and culture (La Brack, 1993; Paige, Cohen, & Shively, 2004). Of particular interest to the present study is how instruction can assist SA students in the development of their TL pragmatic competence. Pragmatic competence refers to the knowledge and skills needed to use and interpret the meanings, assumptions, and actions expressed by language in its sociocultural context. Research on second language (L2) pragmatic development suggests that pragmatic abilities are acquired rather slowly during naturalistic acquisition (Olshtain & Blum-Kulka, 1985). Not surprisingly then, in the context of a 4- to 9- month SA experience, uninstructed L2 learners typically make only minor gains in target-like pragmatic competence (cf. Barron, 2003; Cohen & Shively, 2007; DuFon, 1999; Hoffman-Hicks, 1999). At the same time, L2 learners in instructed settings have generally been found to benefit from instruction that targets pragmatic features of the TL (Bardovi-Harlig, 2001; Rose & Kasper, 2001), suggesting that instruction can accelerate learning. In addition to the use of face-to-face classroom activities to teach L2 pragmatics, recent studies have indicated how new technologies such as interactive Web sites, synchronous chat, and virtual environments can be effectively used to facilitate pragmatic development (Belz, 2005; Gonza 'lez-Lloret, 2008; Ishihara, 2007; Sykes, 2008). While some authors have bemoaned growing access to technology in SA because it can allow students to disengage from the host culture (cf. Citron, 2003; Ogden, 2006), I argue here that rather than discouraging technology use, SA programs would do better to harness SA students' interest in new technologies as a means to reengage them with language and culture at all stages of SA (cf. …",143018391,10.1111/J.1944-9720.2010.01063.X,
Esther Usó-Juan,2013,Effects of Metapragmatic Instruction on EFL Learners' Production of Refusals,"Research into the teaching/leaming of pragmatic competence in both second and foreign language contexts has shown, in general, that simple exposure to input is insufficient for learners to develop pragmatic competence (Rose, 2005) and therefore, instruction in pragmatics is necessary to facilitate the learning of this competence in order to use language appropriately. In an attempt to expand this line of research, the present study examines the effects of explicit instruction through metapragmatic information on learners' production of an under-researched speech act, that of refusals. Pedagogical intervention is organized progressively in six steps: Researching, Reflecting, Receiving, Reasoning, Rehearsing and Revising (MartinezFlor and Uso-Juan, 2006). These steps are designed to help learners understand the form-function relationship of refusals in different social contexts. Participants' performance in pre- and post-test was compared. Results showed the benefits that this pedagogical proposal can have on learners' pragmatic production of refusals.1 IntroductionOver the last few decades, specifically after the original formulation of the notion of communicative competence (Hymes, 1972), the seminal description of its components for pedagogical purposes (Canale, 1983; Canale and Swain, 1980) and the emphasis placed on the component of pragmatic competence (Bachman, 1990), one of the main goals of language teaching professionals is the development of learners' communicative competence in a second (L2) or foreign (FL) language. As recent models of communicative competence have shown (Celce-Murcia, 2007; Uso-Juan and Martinez-Flor, 2006), communicating appropriately and effectively in the target language requires not only mastery over the features of the language system but also over the pragmatic rules of language use. It is necessary to learn how to use and understand language that is appropriate to the contextual and cultural parameters of the specific situation, because failure to do so may characterize non-native speakers as being insensitive, rude or even offensive. Given this necessity, instruction in pragmatics has been a major concern in communicative language teaching (Martinez-Flor and Uso-Juan, 2010), but still language teachers hesitate to incorporate pragmatics in their classrooms. This hesitation, as summarized by Liu (2010), could be attributed to: i) inadequacy of the description models offered by theoretical pragmaticists (Thomas, 1983); ii) difficulty of teaching pragmatics since it involves a high degree of 'face threat' (Matsuda, 1999); iii) lack of available pedagogical resources for teaching pragmatics (Matsuda, 1999) and iv) lack of valid methods for testing pragmatics (Liu, 2006). Consequently, more interventional studies on pragmatic development that utilize research-based teaching materials and different testing methods should be conducted to inform language educators.Guided by this theoretical framework, the present study attempts to determine the effectiveness of pragmatic instruction on a group of Spanish learners studying English as a Foreign Language (EFL) in relation to the speech act of refusals to requests. The rationale behind the selection of this speech act derives from the fact that, given its face-threatening nature, learners need to possess considerable pragmatic expertise to be able to perform it successfully. To this end, this chapter first presents an overview of the most pertinent research on teaching English refusals to L2/FL learners. Following this, it describes the study with a detailed explanation of the participants, the instructional treatment, the instrument and procedures for data collection and data analysis. Finally, the findings obtained by means of analyzing learners' responses in the pre- and post-test are presented and discussed.2 Literature review on teaching English refusalsA refusal is a speech act that functions as a response to an initiating act such as a request, an invitation, an offer or a suggestion. …",140942745,10.1163/9789401209717_006,
"John R. Anderson, J. M. Fincham",1994,Acquisition of procedural skills from examples.,"Three experiments were run in which Ss first memorized examples of input-output pairs and then generated the outputs for a series of new inputs by analogy to the original examples. Ss first performed these mappings by explicit analogy to an example, but with practice they learned to make these input-output mappings directly without reference to the examples. Ss sped up as a power function of practice over a day (Experiment 1) or days (Experiments 2 and 3). Ss developed a directional asymmetry such that they were slower to calculate the input from the output than the output from the input (whereas initially they had not been). Ss showed similar speed up in their ability to recall the original examples but did not show the same directional asymmetry. Initially, there was some transfer from practicing the procedure to recalling the examples, but this diminished over days.",26660894,10.1037//0278-7393.20.6.1322,
