authors,title,year,abstract,doi,link,search_method
Kenneth Fordyce,The Differential Effects of Explicit and Implicit Instruction on EFL Learners’ Use of Epistemic Stance,2013,"...Kenneth Fordyce Teachers have a range of options on an explicit–implicit continuum, which they can use to teach target form–function–context mappings. For example (cf.  Doughty and Williams 1998 ;  Doughty 2003 ), consciousness-raising tasks would be situated at the more explicit end...",10.1093/applin/ams076,https://doi.org/10.1093/applin/ams076,manual_journal_search[applied_linguistics]
Saad Al-Gahtani and Carsten Roever,Proficiency and Sequential Organization of L2 Requests,2011,"... in the foreign language setting tend to show less sociopragmatic development than learners in the second language environment ( Bardovi-Harlig and Dörnyei 1998 ;  Matsumura 2001 ,  2003 ;  Shimizu 2009 ) and are often not able to adjust their production to the relative status of the interlocutor in terms...",10.1093/applin/amr031,https://doi.org/10.1093/applin/amr031,manual_journal_search[applied_linguistics]
Saori Hoshi,Effects of Classroom Instruction on the Development of L2 Interactional Resource for Joint Stance Taking: Use of Japanese Interactional Particle Yo in Spontaneous Peer Conversation,2021,"... of instructional approaches that enhance learners’ sociolinguistic understanding of L2 features beyond their definitions presented in L2 textbooks ( Liddicoat 2006 ;  van Compernolle and Williams 2012 ). For example,  Tateyama and Kasper (2008)  showed that a teacher’s interaction with NS classroom guests made...",10.1093/applin/amab074,https://doi.org/10.1093/applin/amab074,manual_journal_search[applied_linguistics]
Xi Chen and Lucien Brown,L2 Pragmatic Development in Constructing and Negotiating Contextual Meanings,2024,"... use data collected from the same learners as in the second study, but we turn our focus to L2 understandings of contextual meanings ( Chen and Brown 2022  looked only at stereotypical meanings). Moreover, we look at how these understandings develop across a series of pedagogical interventions...",10.1093/applin/amae049,https://doi.org/10.1093/applin/amae049,manual_journal_search[applied_linguistics]
Stephen J Moody and Shinsuke Tsuchiya,Participation in Multiparty Language Play: Navigating Sociability and Learning in Dinnertime Conversations,2020,"... & Social Interaction   40 / 2–3 :  199 – 225 .       Bell  N. D.  ,   Pomerantz  A.   .  2015 .  Humor in the Classroom: A Guide for Language Teachers and Educational Researchers .   Routledge .       Belz  J. A.     2002 . ‘  Second language play as a representation of the multicompetent self in foreign...",10.1093/applin/amaa024,https://doi.org/10.1093/applin/amaa024,manual_journal_search[applied_linguistics]
Stephen J Moody,Fitting in or Standing out? A Conflict of Belonging and Identity in Intercultural Polite Talk at Work,2017,"...  K. R.  ,   Kasper  G.    (eds):  Pragmatics in Language Teaching .  Cambridge University Press .       Theodórsdóttir  G.     2011 . ‘ Language learning activities in real-life situations: Insisting on TCU completion in second language talk ’ in    Pallotti  G.  ,   Wagner  J.    (eds):  L2 Learning...",10.1093/applin/amw047,https://doi.org/10.1093/applin/amw047,manual_journal_search[applied_linguistics]
Younhee Kim,"‘What is Stoyr-Steruh Type?’: Knowledge Asymmetry, Intersubjectivity, and Learning Opportunities in Conversation-for-Learning",2017,"... Practice: Conversation-Analytic Perspectivs .  National Foreign Language Resources Center .       Theodórsdóttir  G.     2011b . ‘ Second language interaction for business and learning ’ in    Hall  J. K.  ,   Hellermann  J.  ,   Pekarek-Doehler  S.    (eds):  L2 Interactional Competence and Development...",10.1093/applin/amx029,https://doi.org/10.1093/applin/amx029,manual_journal_search[applied_linguistics]
Wei Ren,A Longitudinal Investigation into L2 Learners’ Cognitive Processes during Study Abroad,2013,"... by the learners. This article demonstrates that using the retrospective verbal report at different points during learners’ study abroad allows the examination of the changes in the cognitive processes involved in L2 pragmatic production.  Nearly two decades ago, Robinson ( 1992 : 31) noted that second language...",10.1093/applin/amt019,https://doi.org/10.1093/applin/amt019,manual_journal_search[applied_linguistics]
Jim King,Silence in the Second Language Classrooms of Japanese Universities,2012,... university classrooms.  Student silence in the classroom is widely perceived as a serious problem for many educators. This is particularly so in second language learning contexts as a large body of literature has illustrated how oral interaction and production of the target language can significantly aid L2...,10.1093/applin/ams043,https://doi.org/10.1093/applin/ams043,manual_journal_search[applied_linguistics]
Khaled Al Masaeed,Bidialectal Practices and L2 Arabic Pragmatic Development in a Short-Term Study Abroad,2021,"... ) to cover materials for second-year Arabic, and MSA was the main focus of the course. Apologies, refusals, and requests were not explicitly taught (i.e. there was not any classroom intervention to teach pragmatics). But, to maximize learners’ exposure and interaction, learners lived with Jordanian host...",10.1093/applin/amab013,https://doi.org/10.1093/applin/amab013,manual_journal_search[applied_linguistics]
Wenhao Diao,Peer Socialization into Gendered L2 Mandarin Practices in a Study Abroad Context: Talk in the Dorm,2014,"... is in for women: Understanding masculine women], available at  http://w.baike.com/a544f74c077c43539325caa726266394.html . Accessed 16 June 2014        Bourgerie  D S      McGinni  S    Acquisition of modal particles in Chinese second language learners  Chinese Pedagogy: An Emerging Field  1996  Foreign...",10.1093/applin/amu053,https://doi.org/10.1093/applin/amu053,manual_journal_search[applied_linguistics]
Dana Gablasova and others,Epistemic Stance in Spoken L2 English: The Effect of Task and Speaker Style,2015,"... in the use of epistemic markers. By focusing on social use of language, this article seeks to contribute to our understanding of communicative competence of advanced L2 speakers. This research is of relevance to teachers, material developers, as well as language testers interested in second language...",10.1093/applin/amv055,https://doi.org/10.1093/applin/amv055,manual_journal_search[applied_linguistics]
Eunseok Ro,How Learning Occurs in an Extensive Reading Book Club: A Conversation Analytic Perspective,2017,"... CA can be utilized to track participants’ successful language learning behavior (cf.  Markee 2008 ), at least in the short term, during book club conversations. Extensive reading (ER), as a pedagogical approach to teaching and learning a foreign/second language, is based on the idea that pleasure...",10.1093/applin/amx014,https://doi.org/10.1093/applin/amx014,manual_journal_search[applied_linguistics]
Eun Sung Park,Learner-Generated Noticing Behavior By Novice Learners: Tracing the Effects of Learners’ L1 on Their Emerging L2,2013,"..., the teacher can put ‘flags’ in the input by manipulating the presentation of target forms in order to direct the learner’s attention to those forms. In the case of internally generated salience, it is the learner who automatically pays attention to various aspects of L2 input, driven by his or her own...",10.1093/applin/ams016,https://doi.org/10.1093/applin/ams016,manual_journal_search[applied_linguistics]
Ying Zhang,The Influence of Game-Enhanced Communication on EFL Learners’ Pragmatic Competence in Compliment Responses,2023,"...-publication-reuse-rights ) Abstract  A small number of studies have explored the effects of digital gaming on second/foreign language (L2) pragmatic competence. However, the effectiveness of massively multiplayer online role-playing games (MMORPGs) germane to L2 pragmatic development remains unclear because...",10.1093/applin/amad082,https://doi.org/10.1093/applin/amad082,manual_journal_search[applied_linguistics]
Sayuri Hayakawa and others,Native Language Similarity during Foreign Language Learning: Effects of Cognitive Strategies and Affective States,2020,"... (the first language (L1) or the second language (L2)) is often the one that is most typologically related to the L3, the source language can vary depending on formal similarities that are perceived on a construction-by-construction basis ( Rast 2010 ; see also  Tolentino and Tokowicz 2011 ;  Ivaska...",10.1093/applin/amaa042,https://doi.org/10.1093/applin/amaa042,manual_journal_search[applied_linguistics]
Hansun Zhang Waring,Doing Being Playful in the Second Language Classroom,2012,... Acquisition and Language Socialization: Ecological Perspectives  2002  Continuum  266  89        Belz  J    Second language play as a representation of the multicompetent self in foreign language study  Journal for Language Identity and Education  2002  1  1  13  39         Bell  N    Exploring L2 language...,10.1093/applin/ams047,https://doi.org/10.1093/applin/ams047,manual_journal_search[applied_linguistics]
