authors,year,title,abstract,document_type,doi,link,search_method
"Dehghan, Farzaneh;Rezvani, Reza",2016,Transfer at the level of argument structure or morphology: a comparative study of English and Persian unaccusative and unergative verbs,"Transitivity alternation refers to the causative/inchoative alternation of some unaccusative verbs. Different languages use different patterns to show transitivity alternation morphologically. While some languages like English use zero or no overt lexical marking, other languages (e.g. Spanish, Turkish, and Japanese) use overt morphological markers to show transitivity. This study aims to investigate the degree to which similarities and/or mismatches between English and Persian influence the use of unaccusative and unergative verbs by Persianspeaking learners of English. Based on different verb types in English and Persian, seven verb categories were identified as the basis for comparison. A forced-choice elicitation test including 48 items was developed based on these seven verb categories. A proficiency test was also used to divide participants (116 undergraduate students of English) into high and low proficiency groups. The results revealed findings more in line with transfer at the morphological rather than the argument structure level (Montrul, 2000). Alternating unaccusatives with similar equivalent structures for transitive/intransitive pairs in Persian and non-alternating unaccusatives with different structures for transitive/intransitive pairs in Persian seem to be the most difficult verb categories for learners. The effect of proficiency level was also significant on the recognition of correct structures.", Journal Article,10.1515/topling-2016-0008,https://www.proquest.com/scholarly-journals/transfer-at-level-argument-structure-morphology/docview/3158214905/se-2?accountid=9902,llba
,2014,PUBLICATIONS RECEIVED,"[...]language acquisition and first language attrition of Spanish subject realization and word order variation. Grammatical features and their impact on the representation of gender in bilinguals"" (792-807); Presson, N., Sagarra, N., MacWhinney, B., &amp; Kowalski, J. ""Compositional production in Spanish second language conjugation"" (808-828); Blais, M.- J., &amp; Gonnerman, L. M. ""Explicit and implicit semantic processing of verb-particle constructions by French-English bilinguals"" (829-846); Saito, K., &amp; Brajot, F.- X. ""Scrutinizing the role of length of residence and age of acquisition in the interlanguage pronunciation development of English /[LATIN SMALL LETTER TURNED R]/ by late Japanese bilinguals"" (847-863); Veivo, O., &amp; Järvikivi, J. ""Proficiency modulates early orthographic and phonological processing in L2 spoken word recognition"" (864-883); Iluz-Cohen, P., &amp; Armon-Lotem, S. ""Language proficiency and executive control in bilingual children"" (884-899); Metuki, N., Sinkevich, S., &amp; Lavidor, M. ""Lateralization of semantic processing is shaped by exposure to specific mother tongues: Evidence from eye-tracking"" (441-465); Kokhan, K. ""An argument against using standardized test scores for placement of international undergraduate students in English as a second language (ESL) courses"" (467-489); Hsieh, M. ""An application of Multifaceted Rasch measurement in the Yes/No Angoff standard setting procedure"" (491-512); Cho, Y., Rijmen, F., &amp; Novák, J. ""Investigating the effects of prompt characteristics on the comparability of TOEFL iBTTMintegrated writing tasks"" (513-534); Alderson, J. C., &amp; Kremmel, B. ""Re-examining the content validation of a grammar test: Is requiring high-stakes language proficiency tests really going to improve world language education?"" (531-534); Tedick, D. J. ""Embracing proficiency and program standards and rising to the challenge: A response to Burke"" (535-538); Aoki, M. A. ""The role of testing language proficiency as part of teacher certification"" (539-540); Glisan, E. W. ""On keeping the target language in language teaching: A bottom-up effort to protect the public and students"" (541-544); Fischer, G. ""Professional expectations and shattered dreams: A proficiency dilemma"" (545-548); Moeller, A. J. ""Advanced low language proficiency--an achievable goal?"" (549-553); Norris, J. M. ""Some challenges in assessment for teacher licensure, program accreditation, and educational reform"" (554-560).", Journal Article,10.1017/S0272263113000697,https://www.proquest.com/scholarly-journals/publications-received/docview/1507763548/se-2?accountid=9902,llba
"Nemati, Majid;Arabmofrad, Ali",2014,Development of Interlanguage Pragmatic Competence: Input- and Output-based Instruction in the Zone of Proximal Development,"[...]though it is very difficult to teach pragmatics in the L2 classroom (Kasper &amp; Schmidt, 1996), the teaching of pragmatics is of high importance especially in the foreign language context in which learners have limited opportunities to be exposed to the target language (Kasper, 2001a, 2001b; Kasper &amp; Rose, 2002). To date, only a very small number of studies have examined the role of the ZPD in ILP (e.g., Khatib &amp; Ahmadi Safa, 2011; Jabbarpoor &amp; Tajeddin, 2013). [...]the aim of the present study is to see the effectiveness of instruction in teaching pragmatics not only from a cognitive point of view (input vs. output-based) but also from a sociocultural point of view.", Journal Article,10.4304/tpls.4.2.262-270,https://www.proquest.com/scholarly-journals/development-interlanguage-pragmatic-competence/docview/1503770269/se-2?accountid=9902,llba
"Derakhshan, Ali;Mohsenzadeh, Hoda;Mohammadzadeh, Saeid",2014,The Nuts and Bolts of Teaching Implicatures in EFL/ESL Contexts: An Overview on the Role of Video-enhanced Input,"The notion of implicature, the crucial role of which in second/foreign language learning has been repeatedly acknowledged by many scholars, is a key concept in Grice’s ground-breaking theory of Cooperative Principle (CP). According to this theory, interlocutors of a conversation follow the four maxims of Quality, Quantity, Relevance and Manner or deliberately violate them in order to convey a message which is beyond what is directly said. This paper is an attempt to further the understanding of implicatures by spelling out the basic tenets of Grice’s theory of implicatures and reporting the results of some of the studies conducted on this topic with a special emphasis on the role of video-driven prompts as influential sources of input. It finishes with new strands of research on implicatures.", Journal Article,10.7575/aiac.ijalel.v.3n.5p.13,https://www.proquest.com/scholarly-journals/nuts-bolts-teaching-implicatures-efl-esl-contexts/docview/2188127859/se-2?accountid=9902,llba
"Gashan, Amani K;Almohaisen, Fahad M",2014,The Effect of Task Repetition on Fluency And Accuracy of EFL Saudi Female Learners’ Oral Performance,"This study aimed to examine the effect of task repetition on foreign language output. Twenty eight Saudi female students in the Preparatory Year (PY) at King Saud university, were randomly selected to conduct an oral information-gap task. The participants were asked to perform the task two times with two-week interval between the two performances. The oral performances were transcribed and analyzed to measure fluency and accuracy of language output. The collected data were coded for the two dimensions of oral production (fluency and accuracy), based on the established criteria. A within group dependent t-test for paired samples was computed to find out whether there were significant differences between the mean scores of the first and the second performances. The findings revealed that task repetition resulted in significant differences in the subjects’ oral discourse in terms of fluency and accuracy. The findings of the current study recommend that researchers and teachers might find it very beneficial to devote some of their time to design effective task repetition to help language learners improve their oral production.", Journal Article,,https://www.proquest.com/scholarly-journals/effect-task-repetition-on-fluency-accuracy-efl/docview/2188090890/se-2?accountid=9902,llba
"Tominaga, Waka",2014,"Validating the scoring inference of the Japanese OPI ratings: The use of extended turns, connective expressions, and discourse organization","Adopting Kane’s (2006) argument-based approach to validity as a guiding framework, this study examined the scoring inference of the OPI ratings based on the level descriptions in the ACTFL Proficiency Guidelines, with a focus on the “text type” criterion. The Guidelines state that Intermediate speakers typically produce “sentences” while Advanced speakers are capable of using “connected discourse of paragraph length” (ACTFL, 2012c, pp. 5–8). However, there is little empirical evidence to support such characterizations. In an attempt to fill this gap, this conversation analytic study investigated the appropriateness of the text type criterion by examining how Intermediate and Advanced candidates participated in turn-taking in the OPI and responded to the OPI’s narration and description tasks, which were designed to elicit a “connected discourse of paragraph length.” The focal data consisted of audio/video recordings of 15 face-to-face Japanese OPIs. From a larger pool of OPI data collected for program assessment research by the College of Languages, Linguistics, and Literature at the University of Hawai‘i at Manoa, three OPIs for each of the five (sub)levels ranging from Intermediate-Low to Advanced-Mid were randomly selected and transcribed. The study found that while the candidates at higher proficiency levels tended to demonstrate superior ability to use connective expressions in their discourse, the level descriptions concerning the text type criterion did not necessarily match actual candidate performance, especially for the lower proficiency levels (Intermediate-Low/Mid). The problems seemed to reside in the Guidelines’ failure to recognize the candidates’ interactional competence to produce sequentially appropriate actions in an orderly manner, as well as the use of units of analysis for writing (e.g., sentences, paragraphs) to describe oral proficiency. Further research is called for in order to collect more empirical evidence to inform future revisions of the Guidelines.", Dissertation/Thesis,,https://www.proquest.com/dissertations-theses/validating-scoring-inference-japanese-opi-ratings/docview/1652520382/se-2?accountid=9902,llba
"Furukawa, Gavin Ken",2014,The use of English as a local language resource for identity construction in Japanese television variety shows,"This dissertation examines the context of Japanese variety shows to analyze the ways that English is used for identity construction and how this relates to the idea of English as a local resource but still connected to the wider world. It also analyzes the ways that English is used as an entertainment resource for both variety programs and for the people who appear on these shows. Japanese variety shows are a site where tarento , entertainers that are marketed through their personality without belonging to single categories such as singer, actor, or dancer, are often ridiculed and humiliated for the purposes of entertainment. During this process, the tarento will often construct themselves and others through tactics of intersubjectivity that isolate individuals from the larger group using different dimensions of relation. This dissertation takes a Sociocultural Linguistics approach to the data allowing for the combination of multiple methods and traditions to gain a more holistic understanding of the connections between the English Language, Japanese media culture, and society. Drawing upon Bakhtin’s (1981) chronotopes, and Bateson’s (1972) notion of interpretive frames, I analyze the discourse of Japanese variety shows as a series of embedded frames of different places in space and time that are constructed through indirect indexical reference working together to create a single text. Utilizing data from focus groups and interviews as well as broadcast data this dissertation investigates the content of the text, audience reception and production aspects of Japanese television. I analyze the uses of English to construct images of intelligence and social cool as well as stupidity and unstylishness through indexical fields. The analysis reveals how socially positive and negative images are used as marketable resources and how intermediary level discourse in the form of screen text or telop can present itself as having institutional authority through use of typography. My findings reveal that English is used in a continuing cycle connecting the indexical fields of English to the program and the viewership. The findings also show that the educational context of learning English is never totally separated from its use in this medium.", Dissertation/Thesis,,https://www.proquest.com/dissertations-theses/use-english-as-local-language-resource-identity/docview/1651539026/se-2?accountid=9902,llba
"Chu, Wei",2014,<i>Wh</i>-existential words: A comparative study of English-Chinese and Korean-Chinese interlanguages,"This dissertation looks at native language (L1) influence on adult nonnative language (L2) lexical development, investigating, in particular, whether the syntactic and semantic properties underlying L1 words have effects on the acquisition of lexical equivalents in the L2. The investigation is motivated by the following crosslinguistic differences as instantiated in wh -words in Chinese, Korean and English with respect to the existential sense: In Chinese, wh -words (e.g., shenme ) can be used as existentials (i.e., ‘something/anything’) as well as interrogatives (i.e., ‘what’) (Cheng, 1991; Huang, 1982). Chinese wh -existentials are confined to syntactico-semantic environments denoting nonveridicality (e.g., negatives, yes/no questions, conditionals) (Giannakidou, 2011); in Korean, wh -existentials are free of these restrictions (Gil &amp; Marsden, 2013); and in English, wh -words can never function as existentials. A comparative Interlanguage study is conducted to examine wh -existentials in the L2 Chinese of adult L1-Korean and L1-English speakers. The exploration centers on two main predictions based on Sprouse’s (2006) Lexical Transfer Hypothesis: (i) In nonveridical constructions, lower proficiency L1-Korean L2 learners of Chinese will pattern like Chinese native speakers in allowing wh -existentials, whereas lower proficiency L1-English L2 learners will show inhibitions against them; (ii) in veridical constructions, lower proficiency L1-English L2 learners will perform like Chinese speakers in prohibiting nontarget wh -existentials, whereas lower proficiency L1-Korean L2 learners will be inclined to allow them. Intermediate and advanced L1-English and L1-Korean L2 learners of Chinese (English intermediate, n = 20; English advanced, n = 22; Korean intermediate, n = 21; Korean advanced, n = 20) and native speakers of Chinese ( n = 30) completed three experiments targeting the interpretations of shenme ‘THING’ in nonveridical negative sentences and veridical present progressive sentences (contextualized multiple-choice interpretation task), the existential use of shenme ‘THING’ and shui ‘PERSON’ in nonveridical negative sentences and veridical present progressive sentences (elicited production task), and the acceptability judgments of existential shui ‘PERSON’ in yes/no questions and conditionals (acceptability judgment task). The results of the three experiments generally support the Lexical Transfer Hypothesis, which suggests that a deep level of lexical transfer – transfer of the syntactic and semantic properties underlying L1 lexical items – indeed influences L2 lexical development.", Dissertation/Thesis,,https://www.proquest.com/dissertations-theses/i-wh-existential-words-comparative-study-english/docview/1651531357/se-2?accountid=9902,llba
"Yang, Jia",2014,Toward a Pedagogy of Conventional Expressions in Chinese Culture,"Conventional expressions refer to any expression with a stable form that is commonly repeated in the routinized social interactions of a given culture. Expressions, such as “how are you?” “Nice to meet you,” are examples of such repetitions in the context of “greetings” in American culture. Conventional expressions are easily recognizable to members of a given culture so that no special efforts are needed to interpret desired meanings. They are culture specific and are often utilized to help newcomers (or novices) and language learners to be socialized in the interactions of a particular culture. Considering the importance of conventional expressions in language learning, this dissertation reports on a written-discourse-completion production test and a multiple-choice recognition test that were conducted to investigate the development of American learners' recognition and production of conventional expressions in typical social routines in Chinese culture, such as greetings, refusals, apologies and displays of gratitude. Results show that the length of exposure to the target language environment enables students to recognize more conventional expressions, but it does not ensure the students' abilities to produce these expressions. Students' successful production of the target forms are more likely to be related to their uses of different study strategies. In the data, high-performing students use the strategy of “making a mental picture of a situation in which the expression is used” and the strategy of “connecting a new expression to an image or picture associated with the expression” more frequently than low performing students do. The adoption of these deep mental processing strategies enable high performing students to store and retrieve useful expressions better, and hence they are more likely to successfully produce and recognize conventional expressions. The obtained results suggest three developmental stages for students' ability to produce conventional expressions: recognizing the expression in context, distinguishing the communicative intention conveyed by a set of related expressions, and producing the expression automatically in typical contexts that evoke the target expression. This dissertation brings the CFL field's attention to the fact that even in ordinary talk, contemporary Chinese will often display their personal versatility and ingenuity by using a number of expressions drawn from the cultural tradition. Consequently, a foreigner's ability to understand and use conventional expressions is often considered by Chinese speakers to be an important indicator of acculturation and high-language proficiency. Training of students to recognize, to understand, and then to automatically use these expressions in typical social situations in Chinese culture can enable students to be effective communicators in Chinese, and thus shorten their time to achieving higher level of proficiency. Empirical studies from this dissertation also show that the training should not only provide ample opportunities of practice for students to perform the target expressions in context, but also provide the coaching of effective strategies for students to notice, to interpret and then to remember these expressions.", Dissertation/Thesis,,https://www.proquest.com/dissertations-theses/toward-pedagogy-conventional-expressions-chinese/docview/1647128916/se-2?accountid=9902,llba
"Morales, Alexandra",2014,Production and comprehension of verb agreement morphology in Spanish and English child L2 learners: Evidence for the effects of morphological structure,"Verbal inflections are problematic for both first language (L1) and second language (L2) learners in both comprehension and production and take a while to develop. Most research has mainly looked at this phenomenon from the perspective of functional features and has tried to ascertain whether or not learners have the grammatical knowledge or representation of the L2. However, although insightful, research has failed to look in greater detail at how the structure of the target-language may affect learners’ production and comprehension of verbal morphemes. In L1 acquisition, it has been found that the structure of the language may have an effect on children’s verbal morphology acquisition. However, it is basically unknown whether this is also true for L2 acquisition or, if in contrast, all child L2 learners show similar patterns of verbal morphology acquisition regardless of the L2. The present study addresses this issue and investigates whether child L2 learners learning typologically distinct languages show similar acquisition of verbal morphology. In order to address the study’s objectives, the acquisition of agreement morphology in school-age children learning Spanish and learning English as L2 was evaluated. Thirty two English-speaking children with ages ranging from 7;5 to 10;11 years (M = 8;9), were tested in the United States. All of these children were enrolled in an immersion program and had started learning Spanish when they were between 4 and 7 years old (M= 4.9). Additionally, 32 Spanish-speaking children, with ages ranging from 7;7 to 9;9 years (M= 9;0), were tested in Puerto Rico. All of these children were enrolled in an immersion program and had started learning English when they were between 4 and 5 years old (M=4.3). The results revealed that the children learning Spanish showed high accuracy in producing Spanish 3rd person plurals and performed native-like in comprehending verbal agreement. In contrast, the children learning English exhibited low accuracy in both the production and comprehension of verbal agreement (3rd person singular -s), and did not reach native-like performance in any of the tasks. These results suggest that there may be some parallelism between verbal morphology acquisition in L1 children and verbal morphology acquisition in child L2 learners. In both, the morphological structure of the language seems to play a role in the process of acquisition. The findings reported here for child L2 learners suggest that highly and regular inflected systems (e.g. Spanish) will be acquired at a faster rate than poorly and inconsistent inflected languages (e.g. English).", Dissertation/Thesis,,https://www.proquest.com/dissertations-theses/production-comprehension-verb-agreement/docview/1639029567/se-2?accountid=9902,llba
