authors,year,title,abstract,document_type,doi,link,search_method
A. Abdallah,2015.0,The Effects of Explicit Instruction on EFL Students’ Production and Perception of Requests,"As an exploratory study to expand the scope of pedagogical intervention to the teaching of pragmatics, the present research sought to examine the effects of explicit instruction on the learning of request forms. The effects were examined in two respects: the learners’ strategies in formulating request forms, and their perceptions of the pragmatic intervention. To this end, 50 third-year English students at the faculty of Arts and Humanities Sfax, Tunisia were exposed to explicit instruction in the form of awareness-raising tasks and written meta pragmatic feedback on the use of appropriate requests. They were required to take a pre-test, receive a one-month treatment, and take a post-test. In line with previous research, the study showed that learners’ production of requests benefited from the explicit instruction and the questionnaire data indicated that the explicit teaching has helped the learners understand the appropriate use of request strategies.",,10.17722/jell.v3i3.113,https://doi.org/10.17722/jell.v3i3.113,forward
A. Barron,2011.0,Interlanguage pragmatics: From use to acquisition to second language pedagogy,Anne Barron is,,10.1017/S0261444811000462,https://doi.org/10.1017/S0261444811000462,forward
A. Barron,2016.0,Developing pragmatic competence using EFL textbooks: Focus on requests,"Learning to request in a foreign language is a key competence within communicative language teaching. This paper examines how requests are taught using English G2000A (Cornelsen), an EFL textbook series employed in many schools in Germany. The focus of analysis is on the linguistic request strategies and request modification (pragmalinguistics) to be learned and on the contextual information provided on the use of these linguistic forms (sociopragmatics). Findings reveal that commonly employed request strategies and cognitively simple forms of modification are introduced – also in line with developmental patterns. However, it is also found that many strategies are not dealt with and that modification is only touched on. On a sociopragmatic level, a strong focus is found to exist on standard situations in which role relations are clear. Contextual constraints are generally communicated implicitly only and there is a general danger of overgeneralization. Finally, the textbook only considers cross-cultural differences in requesting to a very narrow extent. The paper closes with some recommendations.",,10.20533/licej.2040.2589.2016.0288,https://doi.org/10.20533/licej.2040.2589.2016.0288,forward
"A. Barron, Emily Black",2015.0,Constructing small talk in learner-native speaker voice-based telecollaboration: A focus on topic management and backchanneling,,,10.1016/J.SYSTEM.2014.09.009,https://doi.org/10.1016/J.SYSTEM.2014.09.009,forward
"A. Bataineh, Nadhim Obaid Hussein",2015.0,The Effect of Using Web-Cam Chat on the Undergraduate EFL Students’ Pragmatic Competence,"This study aimed to investigate the effect of using web-cam chat on developing of the pragmatic aspects of language by college-level English as foreign language (EFL) learners in Jordan. A quantitative approach was applied to determine first, whether the use of web-cam chats had a positive effect on EFL learners’ pragmatic competence. Second, the effect of presenting pragmatic through two delivery systems face-to-face, in-class activities and computer-mediated communication (CMC) via web-cam chats i.e. Facebook and Skype was investigated in this study. The sample of the study consisted of thirty-two undergraduate students who made up two intact classes in a ""Conversation Skills course, which call Penguin Functional English by Peter Watcyn-J0nes .Code N 1302109” at AL al-Bayt University in Jordan, during the second semester of the academic year 2013/2014. The students were interviewed in order to know their actual levels in the pragmatic aspects of English before starting the experiment. The sample  was divided into two groups; the control group (15 students) was taught the course content using the regular communicative method through which students received instructor-led lessons from the textbook, while group two, the experimental (17 students) was taught using web-cam chat. After conducting the activities, a post test was administered. Scores were tabulated and prepared for statistical analysis. The results showed that web-cam chat had a positive impact on the EFL learners’ pragmatic competence. Learners who studied via web-cam chat performed better on the pragmatic aspects of English post-test than those who did not. The findings also indicated that technology can be a valuable tool for delivering pragmatic instruction. Moreover, the findings of the study revealed that students acquired the speaking and listening skills in web-cam chat more efficiently and effectively than in the regular communicative method.",,10.5296/IJE.V7I2.7929,https://doi.org/10.5296/IJE.V7I2.7929,forward
"A. Boulton, Tom Cobb",2017.0,Corpus Use in Language Learning: A Meta-Analysis.,"This study applied systematic meta-analytic procedures to summarize findings from experimental and quasi-experimental investigations into the effectiveness of using the tools and techniques of corpus linguistics for second language learning or use, here referred to as data-driven learning (DDL). Analysis of 64 separate studies representing 88 unique samples reporting sufficient data indicated that DDL approaches result in large overall effects for both control/experimental group comparisons (d = 0.95) and for pre/posttest designs (d = 1.50). Further investigation of moderator variables revealed that small effect sizes were generally tied to small sample sizes. Research has barely begun in some key areas, and durability/transfer of learning through delayed posttesting remains an area in need of further investigation. Although DDL research demonstrably improved over the period investigated, further changes in practice and reporting are recommended.",,10.1111/LANG.12224,https://doi.org/10.1111/LANG.12224,forward
A. Cloutier,2015.0,Let's grab coffee sometime! : enhancing pragmatic consciousness-raising tasks through metapragmatic discussions,,,10.15781/T2SK7Q,https://doi.org/10.15781/T2SK7Q,forward
A. Cohen,2016.0,The teaching of pragmatics by native and nonnative language teachers: What they know and what they report doing,"The paper focuses on how nonnative teachers of a target language (NNTs) deal with pragmatics in their classes. It starts with a discussion of what pragmatics entails. Next, issues relating to the teaching of pragmatics are identified, such as the language background of the teacher, comparisons between second- (L2) and foreign-language (FL) instruction, and the potential role of digital media and other means in providing models for pragmatic behavior. Then, an international survey is presented which probed into the experiences of NNTs of various languages while teaching the pragmatics of their language of instruction. A total of 113 teachers were asked to indicate what they taught with regard to pragmatics, 30 native-language teachers (NTs) and 83 NNTs. They were also asked to report on their experience as teachers of L2 and FL pragmatics (e.g., if they encountered classroom moments when they did not feel like an authority on some aspect of pragmatics, what they did about it). Since pragmatics is a meeting of language and culture, the teacher respondents were asked to assess their knowledge regarding pragmalinguistics (i.e., the language forms) and sociopragmatics (sociocultural knowledge). In addition, they were asked to give their opinion regarding similarities and differences between the teaching of FL as opposed to L2 pragmatics, as this traditional dichotomy gives way to a more hybrid reality in an increasingly globalized world. Similarly, they were asked about their methods for teaching pragmatics (e.g., their use of digital media and their handling of dialect differences). Finally, they were asked to suggest areas in which they would like to see research conducted that would inform the teaching of pragmatics. The paper reports the findings from the study, including statistical differences in reported teaching of criticism, sarcasm, and cursing, as well as in the use of digital media and in having students gather data on pragmatics.",,10.14746/SSLLT.2016.6.4.2,https://doi.org/10.14746/SSLLT.2016.6.4.2,forward
A. Cohen,2018.0,Reflections on a Career in Second Language Studies: Promising Pathways for Future Research.,"Author(s): Cohen, Andrew D | Abstract: This paper highlights a series of areas deemed worthy of attention by language researchers. In some cases the research effort would entail following up on studies initiated some years ago and in other cases the effort would involve relatively new research thrusts. The paper includes ideas about research regarding: (1) pathways to success in language learning – language learners as informed consumers, the role of motivation in the L2-FL interface, the language of thought for learning the target language, the impact of L2/FL error correction over time, the use and impact of websites accessed in support of language learning, and language attrition over time; (2) language learner strategies – the fluctuating functions of strategies, refining strategies for language learning, the language strategies of hyperpolyglots, and test-taking strategies; and (3) pushing the envelope with regard to TL pragmatics – the less researched speech acts, the effects of explicit instruction in pragmatics, the learning of pragmatics in the TL classroom from native- and non-native teachers, and the teaching of pragmatics in World Englishes.",,10.5070/L210136653,https://doi.org/10.5070/L210136653,forward
"A. D. Darweesh, N. M. Al-Aadili",2017.0,Investigating Iraqi EFL Learners’ Performance in Utilizing the Speech Acts of Advice and Suggestion,"This study explores the pragmatic strategies of the English speech acts of “suggestion” and “advice” as used by Iraqi EFL university students. The data analyzed in this study were collected in the Dept. of English, College of Education, University of Babylon. The subjects encompass 50 Iraqi EFL undergraduate learners who are native speakers of Arabic. The gender of the subjects is taken into consideration during the execution of the speech acts in question. The instrument of the study is a discourse completion task (DCT) consisting of two questions. In responding to the questions, the participants are asked to pay heed to the social variable of status to see whether it affects the execution of the speech acts under study.",,10.5539/IJEL.V7N4P179,https://doi.org/10.5539/IJEL.V7N4P179,forward
