authors,year,title,abstract,corpus_id,doi,author
"Uno Chemmel, Roger Phillipe",2018,The role of pragmatics in cross-cultural,"We here try to find out the role of pragmatics in the cross-cultural contexts. Pragmatics is the way we convey meaning through communication (Deda, 2013). Other factors beyond competence are the adjustments between contexts and situations that can change the ordinary meaning of elements/sentences according to the language situation. The culture of an organization decides the way employees behave amongst themselves as well as the people outside the organization. Pragmatic culture more emphasis is placed on the clients and the external parties. Customer satisfaction is the main motive of the employees in a pragmatic culture. In linguistics, pragmatic competence is the ability to use language effectively in a contextually appropriate fashion. Pragmatic competence is a fundamental aspect of a more general communicative competence.",217368022,10.37028/lingcure.v2n1.11,
"Z. Tajeddin, Maryam Pezeshki",2014,Acquisition of Politeness Markers in an EFL Context: Impact of Input Enhancement and Output Tasks,"Although politeness markers are frequently used in written and spoken communication, pragmatic studies have not sufficiently explored the instruction of such markers to English as a foreign language (EFL) learners who lack sufficient opportunity to communicate with native speakers to acquire them in the context of use. Ignoring politeness as a subject of instruction could be due to the hypothesis that politeness is ingrained in the culture of its use and hence cannot be taught to EFL learners. To investigate this hypothesis, politeness markers proposed by House and Kasper (1981) in their politeness framework were used as the point of departure to teach these markers to two groups of EFL students using film-driven input-enhancement tasks and output tasks. The results of the study revealed the beneficial effect of teaching politeness markers through the two tasks. Whereas the input-enhancement group improved significantly in their comprehension of politeness markers, the output group manifested more gains in their production of these markers. Findings from this study have implications for interlanguage pragmatic instruction, suggesting that politeness is teachable and that different instructional tasks bring about different effects on the production and comprehension of politeness markers.",145605027,10.1177/0033688214555357,
"Myrto Grigoroglou, A. Papafragou",2017,Acquisition of Pragmatics,"How do children learn to bridge the gap between the literal, semantic meaning of words and the intended, pragmatic meaning of an utterance? The acquisition of pragmatics is the topic of an experimental field of study that investigates this question. According to an influential pragmatic theory proposed by the philosopher Paul Grice, communication is a collaborative effort governed by specific rules (or “maxims”). A collaborative speaker is expected to be as informative as required by the purpose of the communicative exchange (maxim of Quantity), truthful (maxim of Quality), relevant (maxim of Relation), and unambiguous (maxim of Manner). A collaborative listener makes inferences about the speaker’s intentions based on the assumption that the speaker is being cooperative and following the conversational rules. Later pragmatic theories such as Dan Sperber and Deirdre Wilson’s relevance theory have offered important alternatives to the Gricean framework but share several foundational assumptions with Grice’s approach, including the idea that human communication involves representing the speaker’s beliefs and goals. Whether young children are capable of making such inferences about the speaker’s mental states and how aspects of this ability might develop are the most important questions in the study of children’s pragmatic development. For many years, it was believed that children before the age of five or six were not able to entertain pragmatic inferences about the speaker’s intentions or knowledge state. However, more recent theoretical advancements in the semantics-pragmatics interface and the development of new methodological tools have led to a reconsideration of older findings. It appears increasingly likely that the skills required for pragmatic reasoning are in place from a very young age, but the process of applying those skills in communication is effortful and highly task dependent, and continues to develop until late childhood. This article focuses on prominent work on the acquisition of children’s pragmatic abilities in three areas that have generated a considerable body of data: Reference, Implicature, and Figurative Language.",148961609,10.1093/ACREFORE/9780199384655.013.217,
"J. Barón, C. Muñoz",2023,Exploring the effects of audiovisual material and age in pragmatic learning,"
 The present study aims at analyzing the effects of pragmatic instruction through captioned audiovisual input on
 pragmatic performance by learners of different ages. The participants were 40 intermediate English as a Foreign Language (EFL)
 learners, 20 children and 20 adults, who were distributed into intervention and control groups. All participants received
 pragmatic-focused instruction (on greetings and requests), and were engaged in class discussions to raise pragmatic awareness. In
 the intervention group, pragmatic instruction was supported by captioned audiovisual material, whereas in the control group no
 audiovisual material was used to support pragmatic instruction. To examine pragmatic performance, an Oral Discourse Completion
 Test (ODCT) was administered at the beginning and at the end of the treatment period. Moreover, classroom observations were
 carried out during class discussions. The findings suggest a benefit of captioned audiovisual input on pragmatic performance when
 teaching pragmatics in the EFL classroom as well as differences in terms of pragmatic performance between child and adult
 learners.",258920454,10.1075/resla.20063.bar,
"Nancy Bell, S. Attardo",2010,Failed humor: Issues in non-native speakers' appreciation and understanding of humor,"Abstract What is it that makes humor difficult to understand and appreciate in a second language (L2)? Despite advances in research in both L2 pragmatics and humor studies, scholars have as yet had little to say on this topic. In interviews, learners themselves pinpoint culture, vocabulary, and the speed at which playful talk often takes place as difficulties. Yet, as we know, hypothetical self-reports of language use can be quite unreliable. Thus, this exploratory study aimed to examine L2 understanding of humor more systematically. Six advanced non-native speakers (NNSs) of English kept diaries in which they recorded their experiences with humor in English over an eight-week period. Group meetings were also held every two weeks during this time to allow the participants to elaborate on, interpret, and discuss their experiences. For the present study, all instances of failed humor were extracted and coded. These were used to construct a typology of failed humor, which identifies seven levels at which a speaker may fail to successfully engage in a humorous exchange. The data suggest that NNS failures differ from those of NSs largely from a quantitative, but not qualitative, standpoint.",144150585,10.1515/iprg.2010.019,
Alissa J. Hartig,2020,Disciplinary Education and Language for Specific Purposes,,225515212,10.1017/9781108658089.013,
R. A. V. Compernolle,2011,Developing second language sociopragmatic knowledge through concept-based instruction: A microgeneti,,93544647,10.1016/J.PRAGMA.2011.06.009,
"B. Bagheri, Afsaneh Bagheri",2016,The Impact of Structured Input-based Tasks on L2 Learners’ Grammar Learning,,217721927,,
Jin-suk Yang,2016,The Effectiveness of Study-Abroad on Second Language Learning: A Meta-Analysis,"This study synthesizes the methods and findings of published research investigating second language (L2) learners’ linguistic development in study-abroad (SA) contexts. Some studies have demonstrated that SA participation is beneficial to learners’ L2 development, whereas others have not supported such a relationship. The first phase of this meta-analysis analyzed the methodological features of 66 studies, while the second synthesized 11 quantitative studies comparing L2 linguistic gains between SA and at home (AH) learners. Results from the comparisons indicate that SA learners outperform AH learners and that short-term SA is more effective than long-term SA in terms of L2 linguistic development. Along with outlining potential concerns about conducting meta-analyses on SA research, I conclude this article with suggestions for future research directions.Cette étude est une synthèse des méthodes et des résultats de travaux publiés portant sur le développement linguistique d’apprenants de langue seconde (L2) dans le contexte d’études à l’étranger. Certaines études montrent que les séjours à l’étranger profitent au développement de la L2 chez les apprenants, alors que d’autres études récusent cette relation. La première phase de cette métaanalyse est une analyse de la méthodologie de 66 études; la seconde phase fait la synthèse de 11 études quantitatives comparant les acquis linguistiques en L2 d’apprenants à l’étranger et au pays. Les résultats des comparaisons indiquent que les apprenants à l’étranger obtiennent des résultats nettement supérieursà ceux de leurs collègues restés au pays, et que les courts séjours sont plus efficaces que les longs en ce qui concerne le développement linguistique. Je conclus sur les difficultés éventuellement associéesà la métaanalyse de travaux portant sur lesétudesà l’étranger, et sur des suggestions en vue de recherches ultérieures.",146843252,10.3138/CMLR.2344,
Ariane Bilodeau,2009,Existe-t-il un lien entre les activités et les contacts hors classe et le niveau de compréhension pragmatique chez les apprenants adultes allophones de français langue seconde,,161755682,,
Zsuzsanna I. Abrams,2020,Assessing Intercultural Communication,,235879298,10.1017/9781108780360.011,
A. Salinas,2005,La didáctica de la pragmática en el proceso enseñanza-aprendizaje de lenguas segundas y extranjeras. Algunas consideraciones,,169209852,,
"R. A. V. Compernolle, Ashlie Henery",2014,Instructed Concept Appropriation and L2 Pragmatic Development in the Classroom,"In this article, we investigate the integration of concept-based pragmatics instruction, grounded in Vygotskian sociocultural psychology, in an intact second-semester French class (n = 13) over the course of an academic term. Our focus is on learners’ appropriation of the concepts of self-presentation, social distance, and power with respect to the French second-person pronoun system (i.e., tu versus vous) as revealed through language awareness questionnaires, appropriateness judgment tasks, and computer-mediated strategic interaction scenario performances. Following this three-tiered approach to analysis, our findings show that learners developed a deeper and more systematic understanding of tu and vous, that they were able to apply the concepts in planning language use, and that their use of tu and vous became more sensitive to maintaining symmetrical social relationships.",9064306,10.1111/LANG.12054,
"Vahid Rafieyan, Maryam Sharafi-Nejad, Ayoob Damavand, Lin Siew Eng, A. R. Mohamed",2014,Relationship between Emotional Intelligence and Pragmatic Awareness,,148353549,,
