authors,title,year,abstract,doi,link,search_method
"Erika Marcet, Ryoko Sasamoto",Examining interlanguage pragmatics from a relevance-theoretic perspective: Challenges in L2 production,2023,"… This paper explores three pragmatic challenges that learners of Japanese as L2 encountered during their study abroad programs and work placements in Japan. … … It is argued that ideas developed within Relevance Theory can be particularly beneficial to the teaching and learning of pragmatic competence in the L2 classroom. … … of this paper, the term L2 is used to refer to the learning/teaching of languages other than learners’ first language. … … This paper is at the intersection of pragmatics and L2 teaching and learning. … … The findings lend support to recent studies on the importance of explicitly teaching pragmatic competence to foreign language learners. …",10.1515/ip-2023-4003,https://doi.org/10.1515/ip-2023-4003,manual_journal_search[intercultural_pragmatics]
"Arnulf Deppermann, Ibrahim Cindark, Lari Kotilainen, Salla Kurhila, Inkeri Lehtimaja",Self-translations in multilingual workplace interaction,2024,"… In multi-lingual workplace interaction involving L2-speakers with different levels of proficiency, L1-speakers can be seen to use self-translation of their own prior contributions as a repair-practice … … They are only partial, being restricted to a translation of the core semantic content of the turn to be translated, thus relying heavily on a shared understanding of the pragmatic context and being designed … … large numbers of second-language speakers, whose language skills are expected to develop while working. … … Self-translations are pervasive in foreign-language classes. … … Thus, the L2 participants in the Finnish data are more advanced in their respective second languages than the L2 participants in the German data. …",10.1515/ip-2024-4002,https://doi.org/10.1515/ip-2024-4002,manual_journal_search[intercultural_pragmatics]
"Zhanhao Jiang, Ling Shen","Ishihara, Noriko and Andrew D. Cohen: Teaching and learning pragmatics: where language and culture meet (2nd edn.)",2023,"… L2 pragmatics into the broader context of language teacher education including methodology textbooks, language teaching practicum, collaborative approach to materials development, instructional design … … framework, and second-language socialization. … … and teaching speech acts in second or foreign language contexts (with the case of teaching giving and responding to compliments). …",10.1515/ip-2023-4005,https://doi.org/10.1515/ip-2023-4005,manual_journal_search[intercultural_pragmatics]
"Griet Boone, Nicolas Ruytenbeek, Sofie Decock",“The message is clear”: An L1 business perspective on non-target-like formulaic expressions in L2 German,2022,"… This study examines how non-target-like formulaic expressions used by advanced second language (L2) speakers of German are perceived by first language (L1) German business professionals in an intercultural … … Our results indicate that in both conditions expressions containing a grammatical error are judged as least acceptable, followed by those with a pragmatic infelicity. … … Against this background, it is not surprising that in intercultural workplace settings, second (L2) or third language (L3) users – even the ones formally trained as language professionals – use expressions … … Additionally, regarding the production of formulaic expressions, Second Language Acquisition (SLA) and L2 pragmatics research has typically focused on judging L2 production of formulaic expressions from … … Non-target-like L2 language use in professional contexts Pragmatic infelicities and grammar or spelling issues have also been recognized in studies into L2 language use in professional contexts (e.g., …",10.1515/ip-2022-5002,https://doi.org/10.1515/ip-2022-5002,manual_journal_search[intercultural_pragmatics]
"Jie Xia, Xinren Chen",Second Language Pragmatics,2021,"… to second language pragmatics. … … How to teach concerns the teaching methods in L2 pragmatics, especially explicit and implicit instructions. … … The practical issues refer to the instructional issues, including teaching and assessing L2 pragmatics. …",10.1515/ip-2021-2005,https://doi.org/10.1515/ip-2021-2005,manual_journal_search[intercultural_pragmatics]
"David Aline, Yuri Hosoda",Deployment of the formulaic utterance “how about∼” in task-based second language classroom discussions,2021,"… Formulaic speech has long been of interest in studies of second language learning and pragmatic use as production and comprehension of formulaic utterances requires less processing and production effort … … The findings show how language learners deploy this formulaic utterance in discussion tasks designed for language learning and highlights the pragmatic functions of this phrase. … … They have long been of interest to researchers in language teaching, second language acquisition, and other areas of applied linguistics as formulas may be learned whole and then analyzed for their grammatical … … This study examines the positions and actions of one formulaic utterance, specifically “how about∼”, as utilized for suggestion proffers by second language (L2) learners within a task-based methodological … … Japanese students of English as a foreign language (EFL) are usually taught the phrase in the first year of formal language classes and it appears frequently in junior high school English textbooks in …",10.1515/ip-2021-4001,https://doi.org/10.1515/ip-2021-4001,manual_journal_search[intercultural_pragmatics]
Allan Nicholas,Dynamic assessment and requesting: Assessing the development of Japanese EFL learners’ oral requesting performance interactively,2020,"… This study investigates the use of dynamically-administered strategic interaction scenarios (D-SIS) in identifying Japanese EFL participants’ difficulties with requesting-in-interaction, and tracking their … … Informed by conversation analysis research, six Japanese EFL learners at a university in Japan carried out D-SIS tasks in two phases, with the aim of both identifying specific aspects of requesting-in-interaction … … pragmatic competence is one component. … … program in Japan. … … Six Japanese learners of English as a foreign language participated, chosen due to their intermediate level of English proficiency, allowing them to communicate effectively with their interlocutor, while …",10.1515/ip-2020-5002,https://doi.org/10.1515/ip-2020-5002,manual_journal_search[intercultural_pragmatics]
"Veronika Timpe-Laughlin, Judit Dombi",Exploring L2 learners’ request behavior in a multi-turn conversation with a fully automated agent,2020,"… foreign language learners (L2) to practice form-function-context mappings in oral interaction. … … Moreover, we found distinct request realizations when comparing L1 Hungarian and L1 Japanese learners of English. … … For oral L2 pragmatic abilities, research has identified the following dimensions as beneficial for L2 pragmatic instruction: (1) a clear focus on a specific pragmatic phenomenon, (2) interactional, language-focused … … .                       2.3         Teaching and learning L2 pragmatics         Drawing upon Schmidt’s (1995, 2001) noticing hypothesis, which posits that awareness of and attention to certain language … … To summarize, combining practice opportunities with feedback is definitely a fruitful area to explore, especially for foreign language teaching and learning contexts in which learners do not have access …",10.1515/ip-2020-0010,https://doi.org/10.1515/ip-2020-0010,manual_journal_search[intercultural_pragmatics]
"Deniz Ortaçtepe Hart, Seçil Okkalı",Common ground and positioning in teacher-student interactions: Second language socialization in EFL classrooms,2021,"… Three NEST and three NNEST teaching partners were observed and audio recorded during the first and fifth weeks of a new course they taught in turns. … … Pragmatics and Cognition 17(2). 331–355) and Davies and Harré’s positioning theory (Davies, Bronwyn and Rom Harré. 1990. Positioning: The discursive production of selves. … … When applied to foreign language learning, language socialization is concerned with the interaction that occurs between a language teacher and language learners within the language classroom where most … … of the exposure to second language (L2) input and use takes place (Ortaçtepe 2012; Sanal and Ortaçtepe 2019). … … the potential to (re)frame the nature of teacher-student relationships, hence the language socialization practices in L2 classrooms. …",10.1515/ip-2021-0003,https://doi.org/10.1515/ip-2021-0003,manual_journal_search[intercultural_pragmatics]
Pino Cutrone,A cross-cultural examination of the backchannel behavior of Japanese and Americans: Considerations for Japanese EFL learners,2014,"… Thus, the findings of this study support the conclusion that listenership warrants more attention in EFL classes in Japan. … … Further, toward creating a pedagogical framework, this study also provides EFL professionals with a comprehensive account of the listenership of Japanese EFL speakers. … … The case for a pedagogy of pragmatics in foreign or second language teaching. Regional Language Center (RELC) Journal 18(1). 46-71. Brunner, Lawrence J. 1979. Smiles can be backchannels. … … Back-channel transfer in cross-cultural second language conversation: Do native Japanese transfer more than native English speakers? … … Willingness to communicate in a second language: The Japanese EFL context. The Modern Language Journal 86(1). 54-66. Yngve, Victor. 1970. On getting a word in edgewise. …",10.1515/ip-2014-0004,https://doi.org/10.1515/ip-2014-0004,manual_journal_search[intercultural_pragmatics]
"Anna Ladilova, Ulrike Schröder",Humor in intercultural interaction: A source for misunderstanding or a common ground builder? A multimodal analysis,2022,"… co-construction of humor by presenting three examples with different degrees of successful humor: While the conversational humor is only understood by the German co-participants in the first example, in the second … … Gestures are therefore holistic and complement spoken language with a number of functions: from linguistic to pragmatic and interactional to performative and cognitive. … … This corresponds to what Greggio and Gil (2007: 378) have shown as an attempt by teachers to maintain the planned structure of the class by switching into the L2. … … Studies on foreign language classroom interactions revealed that code-switching to the native language among the students typically includes functions such as group membership, alignment, metalanguage, …",10.1515/ip-2022-0003,https://doi.org/10.1515/ip-2022-0003,manual_journal_search[intercultural_pragmatics]
"Anne Barron, Muriel Warga",Acquisitional pragmatics: Focus on foreign language learners,2007,"… Introduction Calls for research into the acquisition of pragmatic competence in a second language have been a familiar feature of the interlanguage pragmatic landscape since the 1990s. … … This observation was then verbalized rather forcefully in a very influential publication written by Kasper and Schmidt (1996) dedicated exclusively to the acquisition of second language (L2) pragmatic … … A second language environment is more likely to provide learners with the diverse and frequent input they need for pragmatic development than a foreign language learning context, especially if the instruction … … An exploratory cross-sectional study of interlanguage pragmatic development. Studies in Second Language Acquisition 22 (1): 27-67. -. 2005. On the e¤ects of instruction in second language pragmatics. … … The development of pragmatic competence by Japanese learners of English. Journal of the Japanese Association of Language Teachers (JALT Journal) 8 (2): 131-155. Trosborg, Anna. 1995. …",10.1515/IP.2007.008,https://doi.org/10.1515/IP.2007.008,manual_journal_search[intercultural_pragmatics]
"Veronica G. Sardegna, Daniella Molle",Videoconferencing with strangers: Teaching Japanese EFL students verbal backchannel signals and reactive expressions,2010,"… The paper examines the pedagogical implications of the obtained results for the second/foreign language classroom. … … It also addresses the benefits and challenges of using videoconferencing in teaching pragmatics, and discusses possible avenues for future research. … … The paper examines the pedagogical implications of the obtained results for the second/foreign language classroom. … … L2 pragmatics instruction. … … On the e¤ects of instruction in second language pragmatics. System 33. 385-399. Rose, Kenneth & Gabriele Kasper (eds.). 2001. Pragmatics in Language Teaching. Cambridge: Cambridge University Press. …",10.1515/iprg.2010.013,https://doi.org/10.1515/iprg.2010.013,manual_journal_search[intercultural_pragmatics]
