authors,year,title,abstract,document_type,doi,link,search_method
,2011,LANGUAGE PEDAGOGY,,,,http://www.jstor.org/stable/41440584,manual_search[japanese_language_and_literature]
,2011,LINGUISTICS,,,,http://www.jstor.org/stable/41440585,manual_search[japanese_language_and_literature]
"Aarne, Päivikki Tallberg, Ing-Mari",2010,Visual check back in children with Specific Language Impairment,"Sensitivity to eye gaze is suggested to be an important prerequisite for intersubjectivity and for normal language development. The present study investigated visual check back in two age groups of typically developed children and one group of children with Specific Language Impairment (SLI, n=10). The control children were matched to the SLI children with regard to language level (LMC, n=10) and to age (AMC, n=10). Play setting situations, including child and teacher, were designed to elicit the children's use of visual check back. The children with lower language level (SLI children aged 5:0 and LMC children aged 2:1) gave visual check back significantly more seldom than the higher language level children (aged 5:1) and they also needed more time for giving check back, i.e. there is a relation between visual check back and language level. The results indicate that children with SLI have a deviant visual communication that further worsens their already limited communicative ability.",,10.1016/j.pragma.2010.04.017,https://www.sciencedirect.com/science/article/pii/S037821661000113X,manual_search[journal_of_pragmatics]
"Abdi, Reza Rizi, Manoochehr Tavangar Tavakoli, Mansoor",2010,The cooperative principle in discourse communities and genres: A framework for the use of metadiscourse,"Developments in characterizing discourse communities and their various genres are hoped to provide more insight into the nature of language in use. Such characterizations gradually tend to include the rhetorical and less visible aspects of different genres in different discourse communities. The trend seems rewarding due to the multilingual membership in discourse communities and inevitability of interference from speech communities. Although several studies have tried to describe the distribution and nature of metadiscourse marking across disciplines and languages, no systematic attempt was made, to our knowledge, to introduce a practical model that presumably guides the users in the real time of writing. By analyzing metadiscourse samples from the genre of research article of academic discourse community, this study embarks on introducing a tentative model based on Gricean cooperative principle (CP) that is hoped to help the multilingual members of academic discourse community in the use of metadiscourse markers. The Gricean categories of CP, developed here, are hoped to provide a practical framework that informs how to use rather than how is it used of metadiscourse in writing research articles. Such a model can be assumed an improvement against coarse-grained holistic guides for the use of metadiscourse offered by previous studies. The attempt also led to a new classification of metadiscourse and added two new metadiscourse strategies of collapsers and disclaimers.",,10.1016/j.pragma.2009.11.001,https://www.sciencedirect.com/science/article/pii/S0378216609002811,manual_search[journal_of_pragmatics]
Abdullah Yıldız and Nigel Harwood,2024,The Art of the Possible: The Constraints Associated with Writing Local TESOL Textbooks,"... Education, Republic of Turkiye  Textbooks are a key instructional resource for the English language teacher and were found to be responsible for around 83% of the classroom discourse in one study ( Guerrettaz and Johnston 2013 ). However, concerns have been raised about the quality of these textbooks...",,10.1093/applin/amae058,https://doi.org/10.1093/applin/amae058,manual_journal_search[applied_linguistics]
Adrian Holliday and Malcolm N Macdonald,2019,Researching the Intercultural: Intersubjectivity and the Problem with Postpositivism,"... in Schools, Unpublished Paper ,  National Association of Foreign Language Education, Beijing .       Goodson  I.     2006 . ‘ The rise of the life narrative ,’  Teacher Education Quarterly   33 / 4 :  7 – 21 .       Grimshaw  T.     2010 . ‘ Styling the occidental other: Interculturality in Chinese...",,10.1093/applin/amz006,https://doi.org/10.1093/applin/amz006,manual_journal_search[applied_linguistics]
Agnes Terraschke,2010,"Or so, oder so, and stuff like that—general extenders in New Zealand English, German and in learner language","… Mastering the pragmatic norms of another language is a great challenge to non-native speakers. One aspect of the pragmatic norms of a language is the appropriate use of general extenders. … … Do language learners recognize pragmatic violations? Pragmatic versus grammatical awareness in instructed L2 learning. TESOL Quarterly 32 (2). 233-262. Brinton, Laurel J. 1996. … … Interlanguage pragmatics. In Heidi Byrnes (ed.), Learning Foreign and Second Languages: Perspectives in Research and Scholarship, 183-208. New York: Modern Language Association of America. … … International Review of Applied Linguistics in Language Teaching 45(2). 141-160. Terraschke, Agnes & Janet Holmes 2007. …",,10.1515/iprg.2010.020,https://doi.org/10.1515/iprg.2010.020,manual_journal_search[intercultural_pragmatics]
"Agustín Llach, M. Pilar",2010,Lexical gap-filling mechanisms in foreign language writing,"The present paper intends to investigate the lexical gap-filling behaviour of primary and secondary Spanish learners of English. When there is a mismatch between the learners lexical knowledge and their communicative needs, then a lexical gap arises. Learners resort to different mechanisms to compensate for that lack of lexical knowledge. Basically, we distinguish among several L1- and L2-based mechanisms. We analysed the lexical gap-filling behaviour of 203 learners in their written compositions. We collected data when students were in 4th grade of Primary Education and four years later when they were in 8th grade. Results revealed that as learners progress in their learning of the foreign language they gradually abandon use of the L1 and substitute L1-based mechanisms such as borrowings, coinages and calques by other L2-based ones such as semantic and formal approximations, circumlocutions, and use of general words. We observed that L2 proficiency interrelates with L1 and L2 influence in different ways depending on the specific mechanism used, so that some mechanisms which are frequent at 4th grade decrease their presence, basically borrowing, and some other tend to increase, basically L2-based mechanisms as linguistic proficiency, awareness and cognitive development increase.",,10.1016/j.system.2010.09.009,https://www.sciencedirect.com/science/article/pii/S0346251X10001090,manual_search[system]
"Akbari, Ramin Behzadpoor, Foad Dadvand, Babak",2010,Development of English language teaching reflection inventory,"The present study was carried out to develop and validate an L2 teacher reflection instrument. For this purpose, a six component model of second language (L2) teacher reflection, encompassing practical, cognitive, meta-cognitive, affective, critical and moral reflection, was developed using experts' opinion and a comprehensive review of the related literature. This initial model was then operationalized in an instrument consisting of 42 items, i.e. 7 behavioral items for each component. The piloting and testing of the tentative model through exploratory and confirmatory data analyses on a sample of 300 ESL teachers reduced the instrument to 29 items, removing the “morality” factor, and reducing the items in the “affective” factor to half.",,10.1016/j.system.2010.03.003,https://www.sciencedirect.com/science/article/pii/S0346251X10000230,manual_search[system]
"Akbarian, Is’haaq",2010,The relationship between vocabulary size and depth for ESP/EAP learners,"Vocabulary knowledge occupies an important position in language learning. This study investigates the relationship between vocabulary size and depth for Iranian learners of English for specific/academic purposes (ESP/EAP). The participants include 112 ESP graduate students at a university in Iran. The findings from linear regression analyses show that, overall, VLT (size test) and WAT (depth test) have a great deal of common shared variance for these participants (R2=.746). However, when they were divided into low and high proficiency groups, based on whether the participants mastered the most frequent 2000 words in VLT, a substantial amount of shared variance was shown for the low group (R2=.464) and a much higher one for the high group (R2=.804). The findings suggest that vocabulary size and depth might be accounted for by the same factors, especially as the learners’ proficiency increases.",,10.1016/j.system.2010.06.013,https://www.sciencedirect.com/science/article/pii/S0346251X10000795,manual_search[system]
